,year,age_group,sex,emigrants,Immigrants,migration
606,2022,25 - 44 years,Both sexes,21.5,53.8,32.2
607,2022,25 - 44 years,Female,8.6,29.3,20.8
608,2022,25 - 44 years,Male,13.0,24.4,11.4
609,2022,45 - 64 years,Both sexes,7.4,12.7,5.3
610,2022,45 - 64 years,Female,4.1,7.1,3.0
611,2022,45 - 64 years,Male,3.3,5.6,2.3
612,2022,65 years and over,Both sexes,2.6,4.1,1.4
613,2022,65 years and over,Female,1.5,2.4,0.9
614,2022,65 years and over,Male,1.1,1.7,0.5
615,2022,All ages,Both sexes,56.1,107.8,51.7
616,2022,All ages,Female,26.5,58.6,32.1
617,2022,All ages,Male,29.6,49.2,19.6
618,2023,0 - 14 years,Both sexes,5.5,21.8,16.3
619,2023,0 - 14 years,Female,2.6,10.8,8.2
620,2023,0 - 14 years,Male,2.9,11.1,8.2
621,2023,15 - 24 years,Both sexes,19.9,23.8,3.9
622,2023,15 - 24 years,Female,12.3,13.7,1.4
623,2023,15 - 24 years,Male,7.5,10.0,2.5
624,2023,25 - 44 years,Both sexes,32.3,75.1,42.7
625,2023,25 - 44 years,Female,15.2,38.2,23.1
626,2023,25 - 44 years,Male,17.2,36.8,19.6
627,2023,45 - 64 years,Both sexes,5.3,16.9,11.7
628,2023,45 - 64 years,Female,2.2,10.3,8.1
629,2023,45 - 64 years,Male,3.0,6.6,3.6
630,2023,65 years and over,Both sexes,1.0,4.0,3.0
631,2023,65 years and over,Female,0.6,2.5,1.8
632,2023,65 years and over,Male,0.4,1.5,1.1
633,2023,All ages,Both sexes,64.0,141.6,77.7
634,2023,All ages,Female,32.9,75.5,42.6
635,2023,All ages,Male,31.0,66.1,35.1
