,year,age_group,sex,value
153,1951,80 - 84 years,Both sexes,30.9
154,1951,80 - 84 years,Male,14.6
155,1951,80 - 84 years,Female,16.2
156,1951,85 years and over,Both sexes,13.3
157,1951,85 years and over,Male,5.5
158,1951,85 years and over,Female,7.8
159,1951,All ages,Both sexes,2960.6
160,1951,All ages,Male,1506.6
161,1951,All ages,Female,1454.0
162,1952,Under 1 year,Both sexes,61.9
163,1952,Under 1 year,Male,31.5
164,1952,Under 1 year,Female,30.4
165,1952,0 - 4 years,Both sexes,310.3
166,1952,0 - 4 years,Male,158.7
167,1952,0 - 4 years,Female,151.6
168,1952,0 - 14 years,Both sexes,859.6
169,1952,0 - 14 years,Male,438.8
170,1952,0 - 14 years,Female,420.8
171,1952,1 - 4 years,Both sexes,248.4
172,1952,1 - 4 years,Male,127.2
173,1952,1 - 4 years,Female,121.2
174,1952,5 - 9 years,Both sexes,284.7
175,1952,5 - 9 years,Male,145.5
176,1952,5 - 9 years,Female,139.2
177,1952,10 - 14 years,Both sexes,264.6
178,1952,10 - 14 years,Male,134.6
179,1952,10 - 14 years,Female,130.0
180,1952,15 - 19 years,Both sexes,239.7
181,1952,15 - 19 years,Male,125.0
182,1952,15 - 19 years,Female,114.7
183,1952,15 - 24 years,Both sexes,437.5
184,1952,15 - 24 years,Male,227.8
185,1952,15 - 24 years,Female,209.7
186,1952,15 years and over,Both sexes,2093.3
187,1952,15 years and over,Male,1062.1
188,1952,15 years and over,Female,1031.2
189,1952,20 - 24 years,Both sexes,197.8
190,1952,20 - 24 years,Male,102.8
191,1952,20 - 24 years,Female,95.0
192,1952,25 - 29 years,Both sexes,192.9
193,1952,25 - 29 years,Male,96.6
194,1952,25 - 29 years,Female,96.3
195,1952,25 - 44 years,Both sexes,760.3
196,1952,25 - 44 years,Male,385.2
197,1952,25 - 44 years,Female,375.1
198,1952,30 - 34 years,Both sexes,188.6
199,1952,30 - 34 years,Male,94.6
200,1952,30 - 34 years,Female,94.0
201,1952,35 - 39 years,Both sexes,197.3
202,1952,35 - 39 years,Male,99.8
203,1952,35 - 39 years,Female,97.5
204,1952,40 - 44 years,Both sexes,181.5
205,1952,40 - 44 years,Male,94.2
206,1952,40 - 44 years,Female,87.3
207,1952,45 - 49 years,Both sexes,163.6
208,1952,45 - 49 years,Male,83.9
209,1952,45 - 49 years,Female,79.7
210,1952,45 - 64 years,Both sexes,578.6
211,1952,45 - 64 years,Male,293.8
212,1952,45 - 64 years,Female,284.8
213,1952,50 - 54 years,Both sexes,160.0
214,1952,50 - 54 years,Male,81.6
215,1952,50 - 54 years,Female,78.4
216,1952,55 - 59 years,Both sexes,133.8
217,1952,55 - 59 years,Male,67.6
218,1952,55 - 59 years,Female,66.2
219,1952,60 - 64 years,Both sexes,121.2
220,1952,60 - 64 years,Male,60.7
221,1952,60 - 64 years,Female,60.5
222,1952,65 - 69 years,Both sexes,107.9
223,1952,65 - 69 years,Male,54.4
224,1952,65 - 69 years,Female,53.5
225,1952,65 years and over,Both sexes,316.9
226,1952,65 years and over,Male,155.3
227,1952,65 years and over,Female,161.6
228,1952,70 - 74 years,Both sexes,98.8
229,1952,70 - 74 years,Male,48.4
230,1952,70 - 74 years,Female,50.4
231,1952,75 - 79 years,Both sexes,64.9
232,1952,75 - 79 years,Male,31.8
233,1952,75 - 79 years,Female,33.1
234,1952,80 - 84 years,Both sexes,31.3
235,1952,80 - 84 years,Male,14.8
236,1952,80 - 84 years,Female,16.5
237,1952,85 years and over,Both sexes,14.0
238,1952,85 years and over,Male,5.9
239,1952,85 years and over,Female,8.1
240,1952,All ages,Both sexes,2952.9
241,1952,All ages,Male,1500.9
242,1952,All ages,Female,1452.0
243,1953,Under 1 year,Both sexes,60.1
244,1953,Under 1 year,Male,30.8
245,1953,Under 1 year,Female,29.3
246,1953,0 - 4 years,Both sexes,308.2
247,1953,0 - 4 years,Male,157.5
248,1953,0 - 4 years,Female,150.7
249,1953,0 - 14 years,Both sexes,865.3
250,1953,0 - 14 years,Male,441.9
251,1953,0 - 14 years,Female,423.4
252,1953,1 - 4 years,Both sexes,248.1
253,1953,1 - 4 years,Male,126.7
254,1953,1 - 4 years,Female,121.4
255,1953,5 - 9 years,Both sexes,288.5
256,1953,5 - 9 years,Male,147.7
257,1953,5 - 9 years,Female,140.8
258,1953,10 - 14 years,Both sexes,268.6
259,1953,10 - 14 years,Male,136.7
260,1953,10 - 14 years,Female,131.9
261,1953,15 - 19 years,Both sexes,238.6
262,1953,15 - 19 years,Male,124.5
263,1953,15 - 19 years,Female,114.1
264,1953,15 - 24 years,Both sexes,432.3
265,1953,15 - 24 years,Male,224.9
266,1953,15 - 24 years,Female,207.4
267,1953,15 years and over,Both sexes,2083.7
268,1953,15 years and over,Male,1056.0
269,1953,15 years and over,Female,1027.7
270,1953,20 - 24 years,Both sexes,193.7
271,1953,20 - 24 years,Male,100.4
272,1953,20 - 24 years,Female,93.3
273,1953,25 - 29 years,Both sexes,187.7
274,1953,25 - 29 years,Male,93.8
275,1953,25 - 29 years,Female,93.9
276,1953,25 - 44 years,Both sexes,750.6
277,1953,25 - 44 years,Male,378.8
278,1953,25 - 44 years,Female,371.8
279,1953,30 - 34 years,Both sexes,185.8
280,1953,30 - 34 years,Male,92.9
281,1953,30 - 34 years,Female,92.9
282,1953,35 - 39 years,Both sexes,194.1
283,1953,35 - 39 years,Male,97.5
284,1953,35 - 39 years,Female,96.6
285,1953,40 - 44 years,Both sexes,183.0
286,1953,40 - 44 years,Male,94.6
287,1953,40 - 44 years,Female,88.4
288,1953,45 - 49 years,Both sexes,166.4
289,1953,45 - 49 years,Male,85.5
290,1953,45 - 49 years,Female,80.9
291,1953,45 - 64 years,Both sexes,583.0
292,1953,45 - 64 years,Male,296.4
293,1953,45 - 64 years,Female,286.6
294,1953,50 - 54 years,Both sexes,157.3
295,1953,50 - 54 years,Male,80.5
296,1953,50 - 54 years,Female,76.8
297,1953,55 - 59 years,Both sexes,138.8
298,1953,55 - 59 years,Male,70.2
299,1953,55 - 59 years,Female,68.6
300,1953,60 - 64 years,Both sexes,120.5
301,1953,60 - 64 years,Male,60.2
302,1953,60 - 64 years,Female,60.3
303,1953,65 - 69 years,Both sexes,108.6
304,1953,65 - 69 years,Male,54.9
305,1953,65 - 69 years,Female,53.7
306,1953,65 years and over,Both sexes,317.8
307,1953,65 years and over,Male,155.9
308,1953,65 years and over,Female,161.9
309,1953,70 - 74 years,Both sexes,97.7
310,1953,70 - 74 years,Male,47.8
311,1953,70 - 74 years,Female,49.9
312,1953,75 - 79 years,Both sexes,65.4
313,1953,75 - 79 years,Male,32.1
314,1953,75 - 79 years,Female,33.3
315,1953,80 - 84 years,Both sexes,31.6
316,1953,80 - 84 years,Male,14.9
317,1953,80 - 84 years,Female,16.7
318,1953,85 years and over,Both sexes,14.5
319,1953,85 years and over,Male,6.2
320,1953,85 years and over,Female,8.3
321,1953,All ages,Both sexes,2949.0
322,1953,All ages,Male,1497.9
323,1953,All ages,Female,1451.1
324,1954,Under 1 year,Both sexes,60.1
325,1954,Under 1 year,Male,30.6
326,1954,Under 1 year,Female,29.5
327,1954,0 - 4 years,Both sexes,305.9
328,1954,0 - 4 years,Male,156.2
329,1954,0 - 4 years,Female,149.7
330,1954,0 - 14 years,Both sexes,870.0
331,1954,0 - 14 years,Male,444.4
332,1954,0 - 14 years,Female,425.6
333,1954,1 - 4 years,Both sexes,245.8
334,1954,1 - 4 years,Male,125.6
335,1954,1 - 4 years,Female,120.2
336,1954,5 - 9 years,Both sexes,292.0
337,1954,5 - 9 years,Male,149.7
338,1954,5 - 9 years,Female,142.3
339,1954,10 - 14 years,Both sexes,272.1
340,1954,10 - 14 years,Male,138.5
341,1954,10 - 14 years,Female,133.6
342,1954,15 - 19 years,Both sexes,237.1
343,1954,15 - 19 years,Male,123.8
344,1954,15 - 19 years,Female,113.3
345,1954,15 - 24 years,Both sexes,426.5
346,1954,15 - 24 years,Male,221.7
347,1954,15 - 24 years,Female,204.8
348,1954,15 years and over,Both sexes,2071.2
349,1954,15 years and over,Male,1048.6
350,1954,15 years and over,Female,1022.6
351,1954,20 - 24 years,Both sexes,189.4
352,1954,20 - 24 years,Male,97.9
353,1954,20 - 24 years,Female,91.5
354,1954,25 - 29 years,Both sexes,182.2
355,1954,25 - 29 years,Male,90.9
356,1954,25 - 29 years,Female,91.3
357,1954,25 - 44 years,Both sexes,739.7
358,1954,25 - 44 years,Male,371.9
359,1954,25 - 44 years,Female,367.8
360,1954,30 - 34 years,Both sexes,182.8
361,1954,30 - 34 years,Male,91.1
362,1954,30 - 34 years,Female,91.7
363,1954,35 - 39 years,Both sexes,190.6
364,1954,35 - 39 years,Male,95.1
365,1954,35 - 39 years,Female,95.5
366,1954,40 - 44 years,Both sexes,184.1
367,1954,40 - 44 years,Male,94.8
368,1954,40 - 44 years,Female,89.3
369,1954,45 - 49 years,Both sexes,169.0
370,1954,45 - 49 years,Male,87.0
371,1954,45 - 49 years,Female,82.0
372,1954,45 - 64 years,Both sexes,586.7
373,1954,45 - 64 years,Male,298.7
374,1954,45 - 64 years,Female,288.0
375,1954,50 - 54 years,Both sexes,154.4
376,1954,50 - 54 years,Male,79.3
377,1954,50 - 54 years,Female,75.1
378,1954,55 - 59 years,Both sexes,143.6
379,1954,55 - 59 years,Male,72.7
380,1954,55 - 59 years,Female,70.9
381,1954,60 - 64 years,Both sexes,119.7
382,1954,60 - 64 years,Male,59.7
383,1954,60 - 64 years,Female,60.0
384,1954,65 - 69 years,Both sexes,109.0
385,1954,65 - 69 years,Male,55.2
386,1954,65 - 69 years,Female,53.8
387,1954,65 years and over,Both sexes,318.3
388,1954,65 years and over,Male,156.3
389,1954,65 years and over,Female,162.0
390,1954,70 - 74 years,Both sexes,96.3
391,1954,70 - 74 years,Male,47.1
392,1954,70 - 74 years,Female,49.2
393,1954,75 - 79 years,Both sexes,65.8
394,1954,75 - 79 years,Male,32.3
395,1954,75 - 79 years,Female,33.5
396,1954,80 - 84 years,Both sexes,32.1
397,1954,80 - 84 years,Male,15.1
398,1954,80 - 84 years,Female,17.0
399,1954,85 years and over,Both sexes,15.1
400,1954,85 years and over,Male,6.6
401,1954,85 years and over,Female,8.5
402,1954,All ages,Both sexes,2941.2
403,1954,All ages,Male,1493.0
404,1954,All ages,Female,1448.2
405,1955,Under 1 year,Both sexes,59.3
406,1955,Under 1 year,Male,30.1
407,1955,Under 1 year,Female,29.2
408,1955,0 - 4 years,Both sexes,302.1
409,1955,0 - 4 years,Male,153.8
410,1955,0 - 4 years,Female,148.3
411,1955,0 - 14 years,Both sexes,871.0
412,1955,0 - 14 years,Male,444.2
413,1955,0 - 14 years,Female,426.8
414,1955,1 - 4 years,Both sexes,242.8
415,1955,1 - 4 years,Male,123.7
416,1955,1 - 4 years,Female,119.1
417,1955,5 - 9 years,Both sexes,294.3
418,1955,5 - 9 years,Male,150.8
419,1955,5 - 9 years,Female,143.5
420,1955,10 - 14 years,Both sexes,274.6
421,1955,10 - 14 years,Male,139.6
422,1955,10 - 14 years,Female,135.0
423,1955,15 - 19 years,Both sexes,234.7
424,1955,15 - 19 years,Male,122.4
425,1955,15 - 19 years,Female,112.3
426,1955,15 - 24 years,Both sexes,419.0
427,1955,15 - 24 years,Male,217.2
428,1955,15 - 24 years,Female,201.8
429,1955,15 years and over,Both sexes,2049.9
430,1955,15 years and over,Male,1034.9
431,1955,15 years and over,Female,1015.0
432,1955,20 - 24 years,Both sexes,184.3
433,1955,20 - 24 years,Male,94.8
434,1955,20 - 24 years,Female,89.5
435,1955,25 - 29 years,Both sexes,176.1
436,1955,25 - 29 years,Male,87.5
437,1955,25 - 29 years,Female,88.6
438,1955,25 - 44 years,Both sexes,725.8
439,1955,25 - 44 years,Male,362.8
440,1955,25 - 44 years,Female,363.0
441,1955,30 - 34 years,Both sexes,179.0
442,1955,30 - 34 years,Male,88.7
443,1955,30 - 34 years,Female,90.3
444,1955,35 - 39 years,Both sexes,186.2
445,1955,35 - 39 years,Male,92.1
446,1955,35 - 39 years,Female,94.1
447,1955,40 - 44 years,Both sexes,184.5
448,1955,40 - 44 years,Male,94.5
449,1955,40 - 44 years,Female,90.0
450,1955,45 - 49 years,Both sexes,170.3
451,1955,45 - 49 years,Male,87.9
452,1955,45 - 49 years,Female,82.4
453,1955,45 - 64 years,Both sexes,587.4
454,1955,45 - 64 years,Male,299.1
455,1955,45 - 64 years,Female,288.3
456,1955,50 - 54 years,Both sexes,150.9
457,1955,50 - 54 years,Male,77.6
458,1955,50 - 54 years,Female,73.3
459,1955,55 - 59 years,Both sexes,147.8
460,1955,55 - 59 years,Male,74.8
461,1955,55 - 59 years,Female,73.0
462,1955,60 - 64 years,Both sexes,118.4
463,1955,60 - 64 years,Male,58.8
