,year,sex,0 - 14 years,1 - 4 years,15 - 24 years,15 years and over,25 - 44 years,45 - 64 years,65 years and over,All ages,Under 1 year
67,1972,Female,461.0,122.6,242.0,1044.3,318.9,301.9,181.5,1505.3,32.9
68,1972,Male,482.0,129.1,252.7,1037.0,327.0,305.3,152.0,1519.1,34.5
69,1973,Both sexes,955.5,254.3,506.9,2117.4,666.6,606.3,337.6,3073.0,68.5
70,1973,Female,467.0,124.2,248.0,1062.4,328.6,301.8,184.0,1529.3,33.2
71,1973,Male,488.6,130.2,258.9,1055.0,337.9,304.6,153.6,1543.7,35.3
72,1974,Both sexes,968.8,259.6,519.6,2155.0,688.1,605.6,341.7,3123.9,67.1
73,1974,Female,473.3,126.5,254.3,1080.9,338.6,301.7,186.3,1554.4,32.8
74,1974,Male,495.5,133.1,265.4,1073.8,349.3,303.9,155.2,1569.5,34.3
75,1975,Both sexes,982.7,262.8,533.0,2194.6,710.4,605.2,346.0,3177.2,68.0
76,1975,Female,479.8,128.2,260.8,1100.5,349.0,301.8,188.9,1580.3,33.1
77,1975,Male,502.9,134.6,272.2,1094.1,361.4,303.4,157.1,1597.0,34.9
78,1976,Both sexes,995.4,267.1,545.8,2232.3,732.4,603.9,350.2,3227.8,67.4
79,1976,Female,485.7,130.3,267.0,1119.2,359.2,301.5,191.5,1605.0,32.8
80,1976,Male,509.7,136.8,278.8,1113.1,373.2,302.4,158.7,1622.9,34.6
81,1977,Both sexes,1006.0,270.3,557.8,2265.9,753.3,601.1,353.7,3271.9,67.1
82,1977,Female,490.9,132.0,272.9,1136.0,369.0,300.4,193.7,1626.9,32.6
83,1977,Male,515.1,138.3,284.9,1129.9,384.3,300.7,160.0,1645.0,34.5
84,1978,Both sexes,1016.1,271.4,569.5,2298.0,773.9,597.7,356.9,3314.0,68.7
85,1978,Female,495.8,132.6,278.8,1152.5,378.7,299.1,195.9,1648.0,33.4
86,1978,Male,520.3,138.8,290.7,1145.6,395.2,298.5,161.2,1666.0,35.3
87,1979,Both sexes,1029.9,272.1,583.6,2338.3,797.4,595.9,361.4,3368.2,71.4
88,1979,Female,502.9,132.7,285.6,1172.1,389.5,298.6,198.4,1674.9,35.2
89,1979,Male,527.0,139.5,298.1,1166.2,407.9,297.3,163.0,1693.3,36.2
90,1980,Both sexes,1035.4,275.2,592.2,2365.8,816.3,592.5,364.8,3401.0,72.5
91,1980,Female,504.9,134.6,290.1,1187.1,399.4,296.9,200.7,1692.0,35.1
92,1980,Male,530.6,140.7,302.2,1178.4,416.9,295.5,163.8,1709.0,37.4
93,1981,Both sexes,1043.7,279.6,602.6,2399.7,837.8,590.4,369.0,3443.4,73.4
94,1981,Female,508.3,136.3,295.4,1205.7,410.5,296.0,203.8,1714.1,35.7
95,1981,Male,535.4,143.3,307.1,1193.9,427.3,294.4,165.2,1729.4,37.7
96,1982,Both sexes,1045.4,278.2,608.8,2434.6,858.8,593.2,373.8,3480.0,71.0
97,1982,Female,509.1,135.5,298.7,1224.9,421.7,297.4,207.1,1734.0,34.6
98,1982,Male,536.3,142.7,310.1,1209.7,437.1,295.8,166.7,1746.0,36.4
99,1983,Both sexes,1043.0,273.8,612.5,2461.0,876.8,594.4,377.3,3504.0,70.0
100,1983,Female,508.0,133.3,300.6,1239.7,431.6,297.8,209.7,1747.7,34.1
101,1983,Male,535.0,140.5,311.9,1221.3,445.2,296.6,167.6,1756.3,35.9
102,1984,Both sexes,1040.6,272.4,616.6,2488.4,895.4,595.7,380.7,3529.0,66.1
103,1984,Female,506.8,132.8,302.8,1255.2,441.7,298.3,212.4,1762.0,32.0
104,1984,Male,533.8,139.6,313.8,1233.2,453.7,297.4,168.3,1767.0,34.1
105,1985,Both sexes,1034.3,268.1,618.0,2505.7,910.4,594.5,382.8,3540.0,63.7
106,1985,Female,503.8,130.7,303.6,1265.2,449.9,297.5,214.2,1769.0,30.8
107,1985,Male,530.5,137.4,314.4,1240.5,460.5,297.0,168.6,1771.0,32.9
108,1986,Both sexes,1024.7,262.9,617.5,2515.9,922.6,591.4,384.4,3540.6,61.2
109,1986,Female,499.1,127.8,303.5,1271.9,457.0,295.8,215.6,1771.0,29.9
110,1986,Male,525.6,135.1,314.0,1244.0,465.7,295.7,168.7,1769.7,31.3
111,1987,Both sexes,1014.4,255.1,615.8,2532.1,936.0,592.1,388.2,3546.5,60.2
112,1987,Female,493.9,124.3,302.8,1282.3,465.2,295.8,218.5,1776.2,29.0
113,1987,Male,520.5,130.8,313.0,1249.6,470.7,296.2,169.7,1770.3,31.2
114,1988,Both sexes,993.9,246.4,608.8,2536.9,939.3,595.6,393.2,3530.7,57.3
115,1988,Female,484.1,119.7,299.9,1287.8,468.8,297.3,221.8,1771.9,28.0
116,1988,Male,509.7,126.7,308.9,1249.0,470.3,298.3,171.5,1758.8,29.2
117,1989,Both sexes,973.5,238.9,597.6,2536.0,941.2,599.8,397.4,3509.5,53.4
118,1989,Female,474.0,116.4,294.4,1291.5,472.6,299.6,224.9,1765.5,26.0
119,1989,Male,499.4,122.5,303.2,1244.6,468.5,300.2,172.7,1744.1,27.3
120,1990,Both sexes,954.6,230.5,594.1,2551.3,949.1,608.1,400.0,3505.8,51.7
121,1990,Female,464.8,112.8,291.0,1298.2,477.3,303.2,226.7,1763.1,25.1
122,1990,Male,489.7,117.7,303.1,1253.0,471.8,304.8,173.3,1742.8,26.6
123,1991,Both sexes,940.6,220.7,601.6,2585.1,959.0,621.7,402.9,3525.7,53.0
124,1991,Female,457.7,107.5,293.7,1314.6,482.6,309.1,229.2,1772.3,25.7
125,1991,Male,482.8,113.2,307.9,1270.6,476.4,312.6,173.7,1753.4,27.4
126,1992,Both sexes,930.9,217.1,610.2,2623.7,970.7,637.0,405.8,3554.5,52.4
127,1992,Female,452.8,105.8,297.2,1333.4,489.1,315.8,231.3,1786.1,25.5
128,1992,Male,478.1,111.3,313.0,1290.5,481.6,321.3,174.6,1768.4,26.9
129,1993,Both sexes,917.0,214.3,615.9,2657.2,979.0,654.3,408.0,3574.1,50.2
130,1993,Female,446.0,104.3,299.6,1350.0,493.6,324.0,232.8,1796.1,24.3
131,1993,Male,470.9,110.0,316.2,1307.1,485.4,330.4,175.1,1778.0,25.9
132,1994,Both sexes,898.5,211.4,621.1,2687.2,986.5,671.0,408.6,3585.9,48.8
133,1994,Female,436.4,102.6,303.0,1366.4,497.4,332.5,233.5,1802.6,23.6
134,1994,Male,462.4,108.9,318.1,1321.1,489.1,338.7,175.2,1783.3,25.2
135,1995,Both sexes,878.0,207.3,625.6,2723.4,999.7,686.8,411.3,3601.3,48.2
136,1995,Female,426.5,100.6,306.3,1386.5,504.2,340.7,235.3,1812.9,23.3
137,1995,Male,451.3,106.7,319.4,1337.1,495.4,346.2,176.1,1788.4,24.9
138,1996,Both sexes,859.4,201.5,632.9,2766.7,1016.1,703.8,413.9,3626.1,48.9
139,1996,Female,418.0,98.0,309.8,1407.9,512.8,348.7,236.6,1825.9,23.6
140,1996,Male,441.5,103.5,323.1,1358.8,503.3,355.1,177.3,1800.2,25.2
141,1997,Both sexes,846.0,199.5,640.9,2818.3,1037.6,723.6,416.3,3664.3,50.5
142,1997,Female,411.5,96.9,313.4,1433.4,523.7,358.6,237.7,1844.9,24.4
143,1997,Male,434.4,102.6,327.5,1384.9,513.9,365.0,178.6,1819.4,26.1
144,1998,Both sexes,835.8,201.1,642.8,2867.3,1058.8,745.5,420.2,3703.1,52.6
145,1998,Female,406.5,97.3,314.7,1457.7,533.4,370.0,239.7,1864.2,25.6
146,1998,Male,429.3,103.8,328.1,1409.5,525.4,375.6,180.6,1838.9,27.0
147,1999,Both sexes,830.6,206.4,642.5,2911.1,1080.8,765.8,421.9,3741.6,53.3
148,1999,Female,403.9,99.9,315.0,1479.2,543.7,380.2,240.3,1883.0,25.9
149,1999,Male,426.7,106.5,327.5,1431.9,537.1,385.7,181.6,1858.6,27.4
150,2000,Both sexes,828.0,212.5,641.2,2961.5,1107.6,788.0,424.7,3789.5,53.6
151,2000,Female,402.9,102.9,315.0,1503.7,556.2,391.1,241.5,1906.6,26.0
152,2000,Male,425.2,109.6,326.3,1457.8,551.4,396.9,183.2,1882.9,27.6
153,2001,Both sexes,827.5,218.1,638.0,3019.7,1142.1,809.7,429.8,3847.2,55.1
154,2001,Female,402.6,106.1,313.2,1531.5,572.6,401.9,243.8,1934.1,26.7
155,2001,Male,424.9,112.0,324.8,1488.2,569.5,407.8,186.0,1913.1,28.4
156,2002,Both sexes,827.4,223.1,641.5,3089.8,1180.3,832.0,436.0,3917.2,54.5
157,2002,Female,403.4,108.9,315.8,1567.7,592.0,413.1,246.8,1971.0,26.7
158,2002,Male,424.0,114.2,325.7,1522.2,588.3,419.0,189.2,1946.2,27.8
159,2003,Both sexes,834.7,223.9,638.7,3145.2,1209.1,855.5,441.9,3979.9,60.4
160,2003,Female,407.1,109.5,315.8,1596.0,606.0,424.6,249.6,2002.9,29.4
161,2003,Male,427.6,114.4,322.9,1549.3,603.1,430.9,192.4,1976.9,31.0
162,2004,Both sexes,843.8,229.1,634.5,3201.4,1240.0,877.2,449.7,4045.2,61.6
163,2004,Female,411.2,111.9,313.6,1622.1,620.5,435.2,252.9,2033.3,30.1
164,2004,Male,432.7,117.2,320.9,1579.3,619.6,442.0,196.8,2011.9,31.5
165,2005,Both sexes,853.5,235.5,632.2,3280.4,1287.2,902.0,458.9,4133.8,61.0
166,2005,Female,415.6,115.3,312.5,1656.7,639.6,447.6,257.0,2072.0,29.6
167,2005,Male,438.0,120.2,319.8,1623.8,647.7,454.4,201.9,2061.8,31.5
168,2006,Both sexes,865.1,241.3,638.4,3367.9,1343.3,923.8,462.4,4232.9,61.1
169,2006,Female,421.6,117.9,314.2,1694.0,663.6,458.4,257.8,2115.6,29.8
170,2006,Male,443.5,123.4,324.2,1673.8,679.7,465.4,204.5,2117.3,31.3
171,2007,Both sexes,884.2,244.2,663.1,3491.7,1404.5,953.0,471.0,4375.8,66.3
172,2007,Female,431.0,118.8,328.0,1753.6,691.2,473.1,261.2,2184.6,32.2
173,2007,Male,453.2,125.3,335.1,1738.1,713.3,479.9,209.8,2191.3,34.1
174,2008,Both sexes,913.4,251.6,669.2,3571.9,1439.9,978.8,483.7,4485.1,72.4
175,2008,Female,445.9,122.6,333.1,1800.6,713.3,486.6,267.6,2246.5,35.5
176,2008,Male,467.5,129.1,336.1,1771.1,726.6,492.2,216.2,2238.6,36.9
177,2009,Both sexes,936.4,261.7,648.7,3597.0,1448.1,1001.3,498.9,4533.4,73.6
178,2009,Female,457.2,127.9,324.8,1818.9,721.8,498.2,274.1,2276.1,35.9
179,2009,Male,479.2,133.8,323.9,1778.1,726.3,503.2,224.8,2257.3,37.7
180,2010,Both sexes,957.7,272.0,615.7,3596.9,1444.3,1021.9,515.1,4554.8,74.9
181,2010,Female,467.2,133.0,307.9,1825.4,725.2,510.5,281.7,2292.6,36.5
182,2010,Male,490.5,139.1,307.8,1771.7,719.1,511.4,233.4,2262.2,38.5
183,2011,Both sexes,976.7,283.6,579.6,3598.2,1448.7,1038.3,531.6,4574.9,72.5
