,year,age_group,sex,value
3601,1994,30 - 34 years,Male,125.9
3602,1994,30 - 34 years,Female,131.9
3603,1994,35 - 39 years,Both sexes,247.4
3604,1994,35 - 39 years,Male,122.6
3605,1994,35 - 39 years,Female,124.8
3606,1994,40 - 44 years,Both sexes,234.0
3607,1994,40 - 44 years,Male,117.5
3608,1994,40 - 44 years,Female,116.5
3609,1994,45 - 49 years,Both sexes,215.8
3610,1994,45 - 49 years,Male,109.5
3611,1994,45 - 49 years,Female,106.3
3615,1994,50 - 54 years,Both sexes,170.6
3616,1994,50 - 54 years,Male,86.9
3617,1994,50 - 54 years,Female,83.7
3618,1994,55 - 59 years,Both sexes,147.9
3619,1994,55 - 59 years,Male,74.4
3620,1994,55 - 59 years,Female,73.6
3621,1994,60 - 64 years,Both sexes,136.7
3622,1994,60 - 64 years,Male,67.9
3623,1994,60 - 64 years,Female,68.9
3624,1994,65 - 69 years,Both sexes,126.9
3625,1994,65 - 69 years,Male,59.5
3626,1994,65 - 69 years,Female,67.4
3630,1994,70 - 74 years,Both sexes,113.9
3631,1994,70 - 74 years,Male,51.0
3632,1994,70 - 74 years,Female,62.9
3633,1994,75 - 79 years,Both sexes,81.7
3634,1994,75 - 79 years,Male,34.3
3635,1994,75 - 79 years,Female,47.5
3636,1994,80 - 84 years,Both sexes,54.6
3637,1994,80 - 84 years,Male,21.1
3638,1994,80 - 84 years,Female,33.5
3639,1994,85 years and over,Both sexes,31.5
3640,1994,85 years and over,Male,9.3
3641,1994,85 years and over,Female,22.2
3648,1995,0 - 4 years,Both sexes,255.5
3649,1995,0 - 4 years,Male,131.6
3650,1995,0 - 4 years,Female,123.9
3657,1995,5 - 9 years,Both sexes,287.3
3658,1995,5 - 9 years,Male,147.3
3659,1995,5 - 9 years,Female,139.9
3660,1995,10 - 14 years,Both sexes,335.2
3661,1995,10 - 14 years,Male,172.4
3662,1995,10 - 14 years,Female,162.7
3663,1995,15 - 19 years,Both sexes,335.2
3664,1995,15 - 19 years,Male,171.4
3665,1995,15 - 19 years,Female,163.8
3672,1995,20 - 24 years,Both sexes,290.4
3673,1995,20 - 24 years,Male,148.0
3674,1995,20 - 24 years,Female,142.5
3675,1995,25 - 29 years,Both sexes,252.5
3676,1995,25 - 29 years,Male,126.0
3677,1995,25 - 29 years,Female,126.5
3681,1995,30 - 34 years,Both sexes,259.8
3682,1995,30 - 34 years,Male,127.1
3683,1995,30 - 34 years,Female,132.7
3684,1995,35 - 39 years,Both sexes,249.7
3685,1995,35 - 39 years,Male,123.2
3686,1995,35 - 39 years,Female,126.4
3687,1995,40 - 44 years,Both sexes,237.7
3688,1995,40 - 44 years,Male,119.1
3689,1995,40 - 44 years,Female,118.6
3690,1995,45 - 49 years,Both sexes,222.3
3691,1995,45 - 49 years,Male,112.3
3692,1995,45 - 49 years,Female,110.0
3696,1995,50 - 54 years,Both sexes,176.4
3697,1995,50 - 54 years,Male,89.8
3698,1995,50 - 54 years,Female,86.6
3699,1995,55 - 59 years,Both sexes,151.7
3700,1995,55 - 59 years,Male,76.2
3701,1995,55 - 59 years,Female,75.5
3702,1995,60 - 64 years,Both sexes,136.4
3703,1995,60 - 64 years,Male,67.9
3704,1995,60 - 64 years,Female,68.6
3705,1995,65 - 69 years,Both sexes,126.6
3706,1995,65 - 69 years,Male,59.7
3707,1995,65 - 69 years,Female,66.9
3711,1995,70 - 74 years,Both sexes,113.3
3712,1995,70 - 74 years,Male,50.4
3713,1995,70 - 74 years,Female,62.9
3714,1995,75 - 79 years,Both sexes,82.4
3715,1995,75 - 79 years,Male,34.7
3716,1995,75 - 79 years,Female,47.8
3717,1995,80 - 84 years,Both sexes,55.9
3718,1995,80 - 84 years,Male,21.3
3719,1995,80 - 84 years,Female,34.6
3720,1995,85 years and over,Both sexes,33.1
3721,1995,85 years and over,Male,10.0
3722,1995,85 years and over,Female,23.1
3729,1996,0 - 4 years,Both sexes,250.4
3730,1996,0 - 4 years,Male,128.7
3731,1996,0 - 4 years,Female,121.6
3738,1996,5 - 9 years,Both sexes,282.9
3739,1996,5 - 9 years,Male,145.3
3740,1996,5 - 9 years,Female,137.6
3741,1996,10 - 14 years,Both sexes,326.1
3742,1996,10 - 14 years,Male,167.4
3743,1996,10 - 14 years,Female,158.7
3744,1996,15 - 19 years,Both sexes,339.5
3745,1996,15 - 19 years,Male,174.0
3746,1996,15 - 19 years,Female,165.6
3753,1996,20 - 24 years,Both sexes,293.4
3754,1996,20 - 24 years,Male,149.1
3755,1996,20 - 24 years,Female,144.2
3756,1996,25 - 29 years,Both sexes,259.0
3757,1996,25 - 29 years,Male,129.4
3758,1996,25 - 29 years,Female,129.7
3762,1996,30 - 34 years,Both sexes,260.9
3763,1996,30 - 34 years,Male,127.7
3764,1996,30 - 34 years,Female,133.2
3765,1996,35 - 39 years,Both sexes,255.7
3766,1996,35 - 39 years,Male,126.1
3767,1996,35 - 39 years,Female,129.5
3768,1996,40 - 44 years,Both sexes,240.4
3769,1996,40 - 44 years,Male,120.1
3770,1996,40 - 44 years,Female,120.4
3771,1996,45 - 49 years,Both sexes,225.4
3772,1996,45 - 49 years,Male,113.8
3773,1996,45 - 49 years,Female,111.6
3777,1996,50 - 54 years,Both sexes,186.6
3778,1996,50 - 54 years,Male,94.8
3779,1996,50 - 54 years,Female,91.8
3780,1996,55 - 59 years,Both sexes,153.8
3781,1996,55 - 59 years,Male,77.8
3782,1996,55 - 59 years,Female,76.0
3783,1996,60 - 64 years,Both sexes,137.9
3784,1996,60 - 64 years,Male,68.7
3785,1996,60 - 64 years,Female,69.3
3786,1996,65 - 69 years,Both sexes,126.8
3787,1996,65 - 69 years,Male,60.3
3788,1996,65 - 69 years,Female,66.6
3792,1996,70 - 74 years,Both sexes,112.5
3793,1996,70 - 74 years,Male,50.1
3794,1996,70 - 74 years,Female,62.4
3795,1996,75 - 79 years,Both sexes,84.1
3796,1996,75 - 79 years,Male,35.2
3797,1996,75 - 79 years,Female,48.9
3798,1996,80 - 84 years,Both sexes,55.8
3799,1996,80 - 84 years,Male,21.1
3800,1996,80 - 84 years,Female,34.7
3801,1996,85 years and over,Both sexes,34.7
3802,1996,85 years and over,Male,10.6
3803,1996,85 years and over,Female,24.1
3810,1997,0 - 4 years,Both sexes,250.0
3811,1997,0 - 4 years,Male,128.7
3812,1997,0 - 4 years,Female,121.3
3819,1997,5 - 9 years,Both sexes,277.9
3820,1997,5 - 9 years,Male,142.2
3821,1997,5 - 9 years,Female,135.7
3822,1997,10 - 14 years,Both sexes,318.0
3823,1997,10 - 14 years,Male,163.5
3824,1997,10 - 14 years,Female,154.5
3825,1997,15 - 19 years,Both sexes,343.7
3826,1997,15 - 19 years,Male,176.2
3827,1997,15 - 19 years,Female,167.6
3834,1997,20 - 24 years,Both sexes,297.2
3835,1997,20 - 24 years,Male,151.3
3836,1997,20 - 24 years,Female,145.9
3837,1997,25 - 29 years,Both sexes,264.4
3838,1997,25 - 29 years,Male,132.0
3839,1997,25 - 29 years,Female,132.5
3843,1997,30 - 34 years,Both sexes,265.1
3844,1997,30 - 34 years,Male,129.9
3845,1997,30 - 34 years,Female,135.2
3846,1997,35 - 39 years,Both sexes,260.7
3847,1997,35 - 39 years,Male,128.7
3848,1997,35 - 39 years,Female,132.0
3849,1997,40 - 44 years,Both sexes,247.4
3850,1997,40 - 44 years,Male,123.3
3851,1997,40 - 44 years,Female,124.0
3852,1997,45 - 49 years,Both sexes,228.2
3853,1997,45 - 49 years,Male,114.8
3854,1997,45 - 49 years,Female,113.4
3858,1997,50 - 54 years,Both sexes,198.3
3859,1997,50 - 54 years,Male,100.8
3860,1997,50 - 54 years,Female,97.6
3861,1997,55 - 59 years,Both sexes,156.1
3862,1997,55 - 59 years,Male,79.2
3863,1997,55 - 59 years,Female,76.9
3864,1997,60 - 64 years,Both sexes,140.9
3865,1997,60 - 64 years,Male,70.2
3866,1997,60 - 64 years,Female,70.8
3867,1997,65 - 69 years,Both sexes,126.7
3868,1997,65 - 69 years,Male,60.9
3869,1997,65 - 69 years,Female,65.9
3873,1997,70 - 74 years,Both sexes,112.8
3874,1997,70 - 74 years,Male,50.2
3875,1997,70 - 74 years,Female,62.6
3876,1997,75 - 79 years,Both sexes,85.0
3877,1997,75 - 79 years,Male,35.6
3878,1997,75 - 79 years,Female,49.4
3879,1997,80 - 84 years,Both sexes,55.8
3880,1997,80 - 84 years,Male,20.9
3881,1997,80 - 84 years,Female,34.9
3882,1997,85 years and over,Both sexes,35.8
3883,1997,85 years and over,Male,11.0
3884,1997,85 years and over,Female,24.9
3891,1998,0 - 4 years,Both sexes,253.6
3892,1998,0 - 4 years,Male,130.8
3893,1998,0 - 4 years,Female,122.9
3900,1998,5 - 9 years,Both sexes,273.8
3901,1998,5 - 9 years,Male,140.3
3902,1998,5 - 9 years,Female,133.6
3903,1998,10 - 14 years,Both sexes,308.3
3904,1998,10 - 14 years,Male,158.3
3905,1998,10 - 14 years,Female,150.1
3906,1998,15 - 19 years,Both sexes,343.7
3907,1998,15 - 19 years,Male,175.7
3908,1998,15 - 19 years,Female,168.0
3915,1998,20 - 24 years,Both sexes,299.1
3916,1998,20 - 24 years,Male,152.3
3917,1998,20 - 24 years,Female,146.7
3918,1998,25 - 29 years,Both sexes,272.4
3919,1998,25 - 29 years,Male,136.6
3920,1998,25 - 29 years,Female,135.8
3924,1998,30 - 34 years,Both sexes,267.9
3925,1998,30 - 34 years,Male,131.8
3926,1998,30 - 34 years,Female,136.1
3927,1998,35 - 39 years,Both sexes,267.1
3928,1998,35 - 39 years,Male,131.9
3929,1998,35 - 39 years,Female,135.3
3930,1998,40 - 44 years,Both sexes,251.3
3931,1998,40 - 44 years,Male,125.1
3932,1998,40 - 44 years,Female,126.3
3933,1998,45 - 49 years,Both sexes,232.8
3934,1998,45 - 49 years,Male,116.7
3935,1998,45 - 49 years,Female,116.1
3939,1998,50 - 54 years,Both sexes,207.9
3940,1998,50 - 54 years,Male,105.8
3941,1998,50 - 54 years,Female,102.1
3942,1998,55 - 59 years,Both sexes,162.4
3943,1998,55 - 59 years,Male,82.2
3944,1998,55 - 59 years,Female,80.3
3945,1998,60 - 64 years,Both sexes,142.3
3946,1998,60 - 64 years,Male,70.9
3947,1998,60 - 64 years,Female,71.5
3948,1998,65 - 69 years,Both sexes,128.2
3949,1998,65 - 69 years,Male,62.2
3950,1998,65 - 69 years,Female,66.0
3954,1998,70 - 74 years,Both sexes,111.7
3955,1998,70 - 74 years,Male,49.8
3956,1998,70 - 74 years,Female,62.0
3957,1998,75 - 79 years,Both sexes,88.3
3958,1998,75 - 79 years,Male,36.8
3959,1998,75 - 79 years,Female,51.6
3960,1998,80 - 84 years,Both sexes,54.6
3961,1998,80 - 84 years,Male,20.5
3962,1998,80 - 84 years,Female,34.2
3963,1998,85 years and over,Both sexes,37.4
3964,1998,85 years and over,Male,11.4
3965,1998,85 years and over,Female,26.0
3972,1999,0 - 4 years,Both sexes,259.8
3973,1999,0 - 4 years,Male,134.0
3974,1999,0 - 4 years,Female,125.8
3981,1999,5 - 9 years,Both sexes,270.6
3982,1999,5 - 9 years,Male,138.7
3983,1999,5 - 9 years,Female,131.9
3984,1999,10 - 14 years,Both sexes,300.2
3985,1999,10 - 14 years,Male,154.1
3986,1999,10 - 14 years,Female,146.2
3987,1999,15 - 19 years,Both sexes,338.5
3988,1999,15 - 19 years,Male,173.8
3989,1999,15 - 19 years,Female,164.7
3996,1999,20 - 24 years,Both sexes,303.9
3997,1999,20 - 24 years,Male,153.6
3998,1999,20 - 24 years,Female,150.3
3999,1999,25 - 29 years,Both sexes,279.7
4000,1999,25 - 29 years,Male,140.5
4001,1999,25 - 29 years,Female,139.3
4005,1999,30 - 34 years,Both sexes,271.9
4006,1999,30 - 34 years,Male,133.9
4007,1999,30 - 34 years,Female,138.0
4008,1999,35 - 39 years,Both sexes,273.5
4009,1999,35 - 39 years,Male,135.2
4010,1999,35 - 39 years,Female,138.3
4011,1999,40 - 44 years,Both sexes,255.7
4012,1999,40 - 44 years,Male,127.5
4013,1999,40 - 44 years,Female,128.2
4014,1999,45 - 49 years,Both sexes,234.7
4015,1999,45 - 49 years,Male,117.6
4016,1999,45 - 49 years,Female,117.1
4020,1999,50 - 54 years,Both sexes,217.5
4021,1999,50 - 54 years,Male,110.4
4022,1999,50 - 54 years,Female,107.1
4023,1999,55 - 59 years,Both sexes,168.2
4024,1999,55 - 59 years,Male,85.2
4025,1999,55 - 59 years,Female,83.0
4026,1999,60 - 64 years,Both sexes,145.5
4027,1999,60 - 64 years,Male,72.5
4028,1999,60 - 64 years,Female,73.0
4029,1999,65 - 69 years,Both sexes,128.8
4030,1999,65 - 69 years,Male,63.0
4031,1999,65 - 69 years,Female,65.9
4035,1999,70 - 74 years,Both sexes,111.1
4036,1999,70 - 74 years,Male,49.7
4037,1999,70 - 74 years,Female,61.4
4038,1999,75 - 79 years,Both sexes,89.1
4039,1999,75 - 79 years,Male,37.0
4040,1999,75 - 79 years,Female,52.1
4041,1999,80 - 84 years,Both sexes,54.6
4042,1999,80 - 84 years,Male,20.4
4043,1999,80 - 84 years,Female,34.2
4044,1999,85 years and over,Both sexes,38.3
4045,1999,85 years and over,Male,11.5
4046,1999,85 years and over,Female,26.8
4053,2000,0 - 4 years,Both sexes,266.2
4054,2000,0 - 4 years,Male,137.2
4055,2000,0 - 4 years,Female,128.9
4062,2000,5 - 9 years,Both sexes,266.7
4063,2000,5 - 9 years,Male,136.6
4064,2000,5 - 9 years,Female,130.1
4065,2000,10 - 14 years,Both sexes,295.1
4066,2000,10 - 14 years,Male,151.3
4067,2000,10 - 14 years,Female,143.8
4068,2000,15 - 19 years,Both sexes,329.4
4069,2000,15 - 19 years,Male,168.9
4070,2000,15 - 19 years,Female,160.5
4077,2000,20 - 24 years,Both sexes,311.9
4078,2000,20 - 24 years,Male,157.4
4079,2000,20 - 24 years,Female,154.5
4080,2000,25 - 29 years,Both sexes,289.4
4081,2000,25 - 29 years,Male,146.0
4082,2000,25 - 29 years,Female,143.3
4086,2000,30 - 34 years,Both sexes,277.5
4087,2000,30 - 34 years,Male,137.5
4088,2000,30 - 34 years,Female,140.0
4089,2000,35 - 39 years,Both sexes,280.2
4090,2000,35 - 39 years,Male,138.2
4091,2000,35 - 39 years,Female,142.0
4092,2000,40 - 44 years,Both sexes,260.5
4093,2000,40 - 44 years,Male,129.7
4094,2000,40 - 44 years,Female,130.8
4095,2000,45 - 49 years,Both sexes,239.1
4096,2000,45 - 49 years,Male,119.8
4097,2000,45 - 49 years,Female,119.3
4101,2000,50 - 54 years,Both sexes,225.0
4102,2000,50 - 54 years,Male,114.1
4103,2000,50 - 54 years,Female,110.8
4104,2000,55 - 59 years,Both sexes,174.3
4105,2000,55 - 59 years,Male,88.2
4106,2000,55 - 59 years,Female,86.1
4107,2000,60 - 64 years,Both sexes,149.7
4108,2000,60 - 64 years,Male,74.8
4109,2000,60 - 64 years,Female,74.9
4110,2000,65 - 69 years,Both sexes,129.3
4111,2000,65 - 69 years,Male,63.3
4112,2000,65 - 69 years,Female,66.0
4116,2000,70 - 74 years,Both sexes,111.3
4117,2000,70 - 74 years,Male,50.3
4118,2000,70 - 74 years,Female,61.1
4119,2000,75 - 79 years,Both sexes,88.9
4120,2000,75 - 79 years,Male,36.9
4121,2000,75 - 79 years,Female,52.0
4122,2000,80 - 84 years,Both sexes,55.8
4123,2000,80 - 84 years,Male,21.0
4124,2000,80 - 84 years,Female,34.8
4125,2000,85 years and over,Both sexes,39.4
4126,2000,85 years and over,Male,11.8
4127,2000,85 years and over,Female,27.6
4134,2001,0 - 4 years,Both sexes,273.2
4135,2001,0 - 4 years,Male,140.4
4136,2001,0 - 4 years,Female,133.0
4143,2001,5 - 9 years,Both sexes,263.7
4144,2001,5 - 9 years,Male,135.5
4145,2001,5 - 9 years,Female,128.2
4146,2001,10 - 14 years,Both sexes,290.6
4147,2001,10 - 14 years,Male,149.0
4148,2001,10 - 14 years,Female,141.6
4149,2001,15 - 19 years,Both sexes,320.4
4150,2001,15 - 19 years,Male,164.3
4151,2001,15 - 19 years,Female,156.2
4158,2001,20 - 24 years,Both sexes,317.6
4159,2001,20 - 24 years,Male,160.5
4160,2001,20 - 24 years,Female,157.1
4161,2001,25 - 29 years,Both sexes,300.8
4162,2001,25 - 29 years,Male,151.2
4163,2001,25 - 29 years,Female,149.7
4167,2001,30 - 34 years,Both sexes,288.6
4168,2001,30 - 34 years,Male,144.2
4169,2001,30 - 34 years,Female,144.4
4170,2001,35 - 39 years,Both sexes,285.1
4171,2001,35 - 39 years,Male,141.2
4172,2001,35 - 39 years,Female,143.9
4173,2001,40 - 44 years,Both sexes,267.6
4174,2001,40 - 44 years,Male,133.0
4175,2001,40 - 44 years,Female,134.6
4176,2001,45 - 49 years,Both sexes,243.9
4177,2001,45 - 49 years,Male,122.4
4178,2001,45 - 49 years,Female,121.5
4182,2001,50 - 54 years,Both sexes,228.2
4183,2001,50 - 54 years,Male,115.5
4184,2001,50 - 54 years,Female,112.7
4185,2001,55 - 59 years,Both sexes,185.8
4186,2001,55 - 59 years,Male,94.0
4187,2001,55 - 59 years,Female,91.8
4188,2001,60 - 64 years,Both sexes,151.7
4189,2001,60 - 64 years,Male,75.9
4190,2001,60 - 64 years,Female,75.8
4191,2001,65 - 69 years,Both sexes,130.8
4192,2001,65 - 69 years,Male,64.0
4193,2001,65 - 69 years,Female,66.8
4197,2001,70 - 74 years,Both sexes,111.8
4198,2001,70 - 74 years,Male,51.1
4199,2001,70 - 74 years,Female,60.8
4200,2001,75 - 79 years,Both sexes,89.2
4201,2001,75 - 79 years,Male,37.1
4202,2001,75 - 79 years,Female,52.1
4203,2001,80 - 84 years,Both sexes,57.6
4204,2001,80 - 84 years,Male,21.7
4205,2001,80 - 84 years,Female,35.9
4206,2001,85 years and over,Both sexes,40.4
4207,2001,85 years and over,Male,12.2
4208,2001,85 years and over,Female,28.2
4215,2002,0 - 4 years,Both sexes,277.6
4216,2002,0 - 4 years,Male,142.0
4217,2002,0 - 4 years,Female,135.6
4224,2002,5 - 9 years,Both sexes,264.1
4225,2002,5 - 9 years,Male,135.9
4226,2002,5 - 9 years,Female,128.2
4227,2002,10 - 14 years,Both sexes,285.7
4228,2002,10 - 14 years,Male,146.1
4229,2002,10 - 14 years,Female,139.6
4230,2002,15 - 19 years,Both sexes,313.2
4231,2002,15 - 19 years,Male,160.4
4232,2002,15 - 19 years,Female,152.8
4239,2002,20 - 24 years,Both sexes,328.3
4240,2002,20 - 24 years,Male,165.3
4241,2002,20 - 24 years,Female,163.0
4242,2002,25 - 29 years,Both sexes,312.7
4243,2002,25 - 29 years,Male,156.1
4244,2002,25 - 29 years,Female,156.6
4248,2002,30 - 34 years,Both sexes,304.7
4249,2002,30 - 34 years,Male,152.4
4250,2002,30 - 34 years,Female,152.3
4251,2002,35 - 39 years,Both sexes,290.9
4252,2002,35 - 39 years,Male,144.5
4253,2002,35 - 39 years,Female,146.4
4254,2002,40 - 44 years,Both sexes,272.0
4255,2002,40 - 44 years,Male,135.3
4256,2002,40 - 44 years,Female,136.7
4257,2002,45 - 49 years,Both sexes,249.6
4258,2002,45 - 49 years,Male,125.0
4259,2002,45 - 49 years,Female,124.6
4263,2002,50 - 54 years,Both sexes,230.8
4264,2002,50 - 54 years,Male,116.6
4265,2002,50 - 54 years,Female,114.3
4266,2002,55 - 59 years,Both sexes,197.3
4267,2002,55 - 59 years,Male,99.8
4268,2002,55 - 59 years,Female,97.5
4269,2002,60 - 64 years,Both sexes,154.3
4270,2002,60 - 64 years,Male,77.6
4271,2002,60 - 64 years,Female,76.7
4272,2002,65 - 69 years,Both sexes,133.5
4273,2002,65 - 69 years,Male,65.3
4274,2002,65 - 69 years,Female,68.2
4278,2002,70 - 74 years,Both sexes,112.1
4279,2002,70 - 74 years,Male,51.7
4280,2002,70 - 74 years,Female,60.4
4281,2002,75 - 79 years,Both sexes,89.8
4282,2002,75 - 79 years,Male,37.4
4283,2002,75 - 79 years,Female,52.4
4284,2002,80 - 84 years,Both sexes,58.9
4285,2002,80 - 84 years,Male,22.3
4286,2002,80 - 84 years,Female,36.6
4287,2002,85 years and over,Both sexes,41.7
4288,2002,85 years and over,Male,12.5
4289,2002,85 years and over,Female,29.2
4296,2003,0 - 4 years,Both sexes,284.3
4297,2003,0 - 4 years,Male,145.4
4298,2003,0 - 4 years,Female,138.9
4305,2003,5 - 9 years,Both sexes,268.7
4306,2003,5 - 9 years,Male,137.8
4307,2003,5 - 9 years,Female,130.9
4308,2003,10 - 14 years,Both sexes,281.7
4309,2003,10 - 14 years,Male,144.4
4310,2003,10 - 14 years,Female,137.3
4311,2003,15 - 19 years,Both sexes,304.7
4312,2003,15 - 19 years,Male,155.9
4313,2003,15 - 19 years,Female,148.8
4320,2003,20 - 24 years,Both sexes,334.0
4321,2003,20 - 24 years,Male,167.0
4322,2003,20 - 24 years,Female,167.0
4323,2003,25 - 29 years,Both sexes,317.4
4324,2003,25 - 29 years,Male,158.6
4325,2003,25 - 29 years,Female,158.8
4329,2003,30 - 34 years,Both sexes,316.1
4330,2003,30 - 34 years,Male,158.2
4331,2003,30 - 34 years,Female,157.9
4332,2003,35 - 39 years,Both sexes,296.4
4333,2003,35 - 39 years,Male,147.4
4334,2003,35 - 39 years,Female,149.0
4335,2003,40 - 44 years,Both sexes,279.2
4336,2003,40 - 44 years,Male,138.9
4337,2003,40 - 44 years,Female,140.3
4338,2003,45 - 49 years,Both sexes,253.7
4339,2003,45 - 49 years,Male,126.9
4340,2003,45 - 49 years,Female,126.8
4344,2003,50 - 54 years,Both sexes,235.1
4345,2003,50 - 54 years,Male,118.5
4346,2003,50 - 54 years,Female,116.6
4347,2003,55 - 59 years,Both sexes,206.6
4348,2003,55 - 59 years,Male,104.9
4349,2003,55 - 59 years,Female,101.6
4350,2003,60 - 64 years,Both sexes,160.3
4351,2003,60 - 64 years,Male,80.7
4352,2003,60 - 64 years,Female,79.6
4353,2003,65 - 69 years,Both sexes,135.0
4354,2003,65 - 69 years,Male,66.0
4355,2003,65 - 69 years,Female,69.0
4359,2003,70 - 74 years,Both sexes,113.8
4360,2003,70 - 74 years,Male,53.2
4361,2003,70 - 74 years,Female,60.6
4362,2003,75 - 79 years,Both sexes,89.5
4363,2003,75 - 79 years,Male,37.3
4364,2003,75 - 79 years,Female,52.3
4365,2003,80 - 84 years,Both sexes,61.7
4366,2003,80 - 84 years,Male,23.4
4367,2003,80 - 84 years,Female,38.3
4368,2003,85 years and over,Both sexes,41.9
4369,2003,85 years and over,Male,12.6
4370,2003,85 years and over,Female,29.3
4377,2004,0 - 4 years,Both sexes,290.7
4378,2004,0 - 4 years,Male,148.7
4379,2004,0 - 4 years,Female,142.0
4386,2004,5 - 9 years,Both sexes,274.9
4387,2004,5 - 9 years,Male,141.2
4388,2004,5 - 9 years,Female,133.8
4389,2004,10 - 14 years,Both sexes,278.2
4390,2004,10 - 14 years,Male,142.8
4391,2004,10 - 14 years,Female,135.4
4392,2004,15 - 19 years,Both sexes,298.4
4393,2004,15 - 19 years,Male,152.7
4394,2004,15 - 19 years,Female,145.7
4401,2004,20 - 24 years,Both sexes,336.1
4402,2004,20 - 24 years,Male,168.2
4403,2004,20 - 24 years,Female,167.9
4404,2004,25 - 29 years,Both sexes,325.4
4405,2004,25 - 29 years,Male,162.9
4406,2004,25 - 29 years,Female,162.5
4410,2004,30 - 34 years,Both sexes,325.1
4411,2004,30 - 34 years,Male,161.8
4412,2004,30 - 34 years,Female,163.4
4413,2004,35 - 39 years,Both sexes,303.5
4414,2004,35 - 39 years,Male,152.4
4415,2004,35 - 39 years,Female,151.1
4416,2004,40 - 44 years,Both sexes,286.0
4417,2004,40 - 44 years,Male,142.5
4418,2004,40 - 44 years,Female,143.5
4419,2004,45 - 49 years,Both sexes,259.2
4420,2004,45 - 49 years,Male,129.7
4421,2004,45 - 49 years,Female,129.6
4425,2004,50 - 54 years,Both sexes,238.1
4426,2004,50 - 54 years,Male,120.1
4427,2004,50 - 54 years,Female,118.0
4428,2004,55 - 59 years,Both sexes,213.9
4429,2004,55 - 59 years,Male,108.5
4430,2004,55 - 59 years,Female,105.4
4431,2004,60 - 64 years,Both sexes,166.0
4432,2004,60 - 64 years,Male,83.8
4433,2004,60 - 64 years,Female,82.2
4434,2004,65 - 69 years,Both sexes,137.5
4435,2004,65 - 69 years,Male,67.3
4436,2004,65 - 69 years,Female,70.2
4440,2004,70 - 74 years,Both sexes,115.7
4441,2004,70 - 74 years,Male,54.6
4442,2004,70 - 74 years,Female,61.1
4443,2004,75 - 79 years,Both sexes,90.0
4444,2004,75 - 79 years,Male,37.8
4445,2004,75 - 79 years,Female,52.2
4446,2004,80 - 84 years,Both sexes,63.1
4447,2004,80 - 84 years,Male,23.9
4448,2004,80 - 84 years,Female,39.2
4449,2004,85 years and over,Both sexes,43.4
4450,2004,85 years and over,Male,13.2
4451,2004,85 years and over,Female,30.2
4458,2005,0 - 4 years,Both sexes,296.5
4459,2005,0 - 4 years,Male,151.7
4460,2005,0 - 4 years,Female,144.9
4467,2005,5 - 9 years,Both sexes,280.6
4468,2005,5 - 9 years,Male,144.3
4469,2005,5 - 9 years,Female,136.3
4470,2005,10 - 14 years,Both sexes,276.3
4471,2005,10 - 14 years,Male,142.0
4472,2005,10 - 14 years,Female,134.4
4473,2005,15 - 19 years,Both sexes,292.8
4474,2005,15 - 19 years,Male,149.8
4475,2005,15 - 19 years,Female,143.0
4482,2005,20 - 24 years,Both sexes,339.5
4483,2005,20 - 24 years,Male,170.0
4484,2005,20 - 24 years,Female,169.5
4485,2005,25 - 29 years,Both sexes,345.2
4486,2005,25 - 29 years,Male,174.1
4487,2005,25 - 29 years,Female,171.1
4491,2005,30 - 34 years,Both sexes,335.8
4492,2005,30 - 34 years,Male,168.7
4493,2005,30 - 34 years,Female,167.0
4494,2005,35 - 39 years,Both sexes,312.1
4495,2005,35 - 39 years,Male,157.8
4496,2005,35 - 39 years,Female,154.4
4497,2005,40 - 44 years,Both sexes,294.1
4498,2005,40 - 44 years,Male,147.1
4499,2005,40 - 44 years,Female,147.1
4500,2005,45 - 49 years,Both sexes,265.4
4501,2005,45 - 49 years,Male,132.9
4502,2005,45 - 49 years,Female,132.6
4506,2005,50 - 54 years,Both sexes,243.1
4507,2005,50 - 54 years,Male,122.9
4508,2005,50 - 54 years,Female,120.2
4509,2005,55 - 59 years,Both sexes,221.4
4510,2005,55 - 59 years,Male,112.0
4511,2005,55 - 59 years,Female,109.4
4512,2005,60 - 64 years,Both sexes,172.1
4513,2005,60 - 64 years,Male,86.7
4514,2005,60 - 64 years,Female,85.4
4515,2005,65 - 69 years,Both sexes,140.8
4516,2005,65 - 69 years,Male,69.1
4517,2005,65 - 69 years,Female,71.7
4521,2005,70 - 74 years,Both sexes,117.4
4522,2005,70 - 74 years,Male,55.7
4523,2005,70 - 74 years,Female,61.7
4524,2005,75 - 79 years,Both sexes,91.0
4525,2005,75 - 79 years,Male,38.8
4526,2005,75 - 79 years,Female,52.2
4527,2005,80 - 84 years,Both sexes,64.0
4528,2005,80 - 84 years,Male,24.3
4529,2005,80 - 84 years,Female,39.7
4530,2005,85 years and over,Both sexes,45.7
4531,2005,85 years and over,Male,14.0
4532,2005,85 years and over,Female,31.7
4539,2006,0 - 4 years,Both sexes,302.3
4540,2006,0 - 4 years,Male,154.7
4541,2006,0 - 4 years,Female,147.7
4548,2006,5 - 9 years,Both sexes,288.5
4549,2006,5 - 9 years,Male,148.1
4550,2006,5 - 9 years,Female,140.4
4551,2006,10 - 14 years,Both sexes,274.2
4552,2006,10 - 14 years,Male,140.7
4553,2006,10 - 14 years,Female,133.5
4554,2006,15 - 19 years,Both sexes,290.9
