,year,sex,age_group,Border,Dublin,Mid-East,Mid-West,Midland,South-East,South-West,State,West
59,2012,Both sexes,15 - 19 years,26.2,70.0,41.3,30.5,18.1,26.3,41.4,281.5,27.6
60,2012,Both sexes,20 - 24 years,22.1,89.1,37.3,29.4,15.8,24.0,41.4,285.1,25.9
61,2012,Both sexes,25 - 29 years,24.9,117.7,45.1,31.2,20.7,26.8,45.8,341.5,29.1
62,2012,Both sexes,30 - 34 years,28.9,127.6,56.6,36.3,23.4,31.9,54.7,394.0,34.6
63,2012,Both sexes,35 - 39 years,28.8,104.0,57.3,35.6,22.5,31.5,52.2,365.2,33.3
64,2012,Both sexes,40 - 44 years,27.8,88.9,52.9,33.9,21.4,29.9,48.5,334.6,31.3
65,2012,Both sexes,45 - 49 years,26.3,79.5,46.7,31.9,19.0,28.7,45.8,307.7,29.8
66,2012,Both sexes,5 - 9 years,28.7,80.6,53.3,33.0,22.5,30.4,45.9,325.3,30.9
67,2012,Both sexes,50 - 54 years,24.3,72.7,39.4,29.4,17.0,25.7,41.7,278.2,27.9
68,2012,Both sexes,55 - 59 years,22.4,63.4,34.1,26.9,15.1,22.8,37.3,248.0,25.8
69,2012,Both sexes,60 - 64 years,20.3,56.0,29.2,24.6,13.1,20.4,33.4,219.9,22.9
70,2012,Both sexes,65 - 69 years,17.1,45.6,23.7,20.3,10.9,17.4,28.0,181.6,18.6
71,2012,Both sexes,70 - 74 years,12.3,35.3,15.8,14.8,7.7,12.9,20.7,133.1,13.7
72,2012,Both sexes,75 - 79 years,9.9,28.0,11.3,11.4,6.4,9.9,16.1,103.9,10.9
73,2012,Both sexes,80 - 84 years,7.0,19.4,7.4,7.9,4.2,6.6,11.2,71.5,7.9
74,2012,Both sexes,85 years and over,6.4,15.3,6.5,6.5,3.6,5.4,9.1,59.8,7.1
75,2012,Both sexes,All ages,392.1,1260.6,664.7,470.6,287.2,411.6,667.4,4593.7,439.4
76,2012,Female,0 - 4 years,14.9,46.2,28.9,17.1,11.9,15.5,24.9,175.4,16.0
77,2012,Female,10 - 14 years,13.6,35.7,23.1,15.8,10.3,14.1,21.3,148.3,14.3
78,2012,Female,15 - 19 years,12.5,34.0,20.2,14.7,9.1,12.9,20.2,137.2,13.4
79,2012,Female,20 - 24 years,10.5,46.1,19.3,13.9,8.4,12.2,20.3,143.6,12.9
80,2012,Female,25 - 29 years,12.6,62.3,23.6,15.9,10.7,13.9,24.0,178.1,15.2
81,2012,Female,30 - 34 years,14.7,65.2,29.1,18.2,11.9,16.2,27.8,200.8,17.7
82,2012,Female,35 - 39 years,14.3,52.5,28.9,17.6,11.2,15.6,25.8,182.9,16.9
83,2012,Female,40 - 44 years,13.7,44.8,26.3,16.8,10.5,14.8,24.1,166.6,15.7
84,2012,Female,45 - 49 years,13.1,40.9,23.2,16.0,9.4,14.5,22.7,154.7,14.8
85,2012,Female,5 - 9 years,13.9,39.7,25.9,16.3,11.0,14.8,22.3,159.0,15.1
86,2012,Female,50 - 54 years,12.2,37.4,19.7,14.6,8.3,12.9,20.8,139.9,14.0
87,2012,Female,55 - 59 years,11.0,33.0,17.0,13.3,7.4,11.3,18.5,124.2,12.7
88,2012,Female,60 - 64 years,9.9,29.0,14.6,12.2,6.4,10.1,16.5,109.8,11.2
89,2012,Female,65 - 69 years,8.2,24.0,11.7,10.1,5.4,8.7,14.0,91.0,8.9
90,2012,Female,70 - 74 years,6.1,19.1,8.0,7.5,3.9,6.4,10.7,68.5,6.8
91,2012,Female,75 - 79 years,5.2,16.0,6.1,6.0,3.3,5.2,8.8,56.1,5.6
92,2012,Female,80 - 84 years,3.9,12.0,4.3,4.5,2.4,3.7,6.6,41.9,4.5
93,2012,Female,85 years and over,4.3,10.6,4.6,4.4,2.3,3.6,6.3,40.8,4.8
94,2012,Female,All ages,194.4,648.5,334.5,234.8,143.8,206.7,335.5,2318.7,220.5
95,2012,Male,0 - 4 years,15.8,47.8,29.7,18.0,12.5,16.5,25.6,182.7,16.8
96,2012,Male,10 - 14 years,14.5,37.8,25.0,16.2,10.8,14.8,22.3,156.3,14.9
97,2012,Male,15 - 19 years,13.6,36.0,21.1,15.8,9.1,13.4,21.2,144.3,14.1
98,2012,Male,20 - 24 years,11.6,43.0,18.1,15.4,7.5,11.8,21.1,141.5,13.1
99,2012,Male,25 - 29 years,12.4,55.4,21.6,15.3,10.1,12.9,21.9,163.4,13.9
100,2012,Male,30 - 34 years,14.2,62.4,27.5,18.1,11.5,15.8,26.8,193.3,16.9
101,2012,Male,35 - 39 years,14.4,51.5,28.4,18.0,11.4,15.9,26.3,182.3,16.4
102,2012,Male,40 - 44 years,14.1,44.1,26.6,17.1,10.9,15.1,24.4,168.0,15.6
103,2012,Male,45 - 49 years,13.2,38.6,23.4,15.9,9.6,14.2,23.1,153.0,15.0
104,2012,Male,5 - 9 years,14.9,40.9,27.4,16.7,11.5,15.5,23.6,166.4,15.8
105,2012,Male,50 - 54 years,12.1,35.3,19.7,14.9,8.7,12.8,20.9,138.3,13.9
106,2012,Male,55 - 59 years,11.4,30.5,17.1,13.6,7.8,11.6,18.8,123.8,13.1
107,2012,Male,60 - 64 years,10.4,27.0,14.6,12.4,6.7,10.3,16.9,110.1,11.7
108,2012,Male,65 - 69 years,8.9,21.6,12.0,10.2,5.5,8.7,14.0,90.6,9.7
109,2012,Male,70 - 74 years,6.2,16.1,7.8,7.3,3.8,6.5,10.0,64.6,7.0
110,2012,Male,75 - 79 years,4.7,12.1,5.2,5.4,3.1,4.6,7.4,47.8,5.3
111,2012,Male,80 - 84 years,3.1,7.4,3.1,3.4,1.8,2.9,4.6,29.6,3.5
112,2012,Male,85 years and over,2.1,4.6,2.0,2.1,1.2,1.8,2.8,19.0,2.3
113,2012,Male,All ages,197.7,612.2,330.2,235.8,143.4,204.9,331.9,2275.0,219.0
114,2013,Both sexes,0 - 4 years,30.2,92.7,57.8,34.4,23.9,31.4,50.1,353.0,32.6
115,2013,Both sexes,10 - 14 years,28.0,73.9,49.5,31.9,21.3,29.4,44.1,307.9,29.8
116,2013,Both sexes,15 - 19 years,26.3,70.0,42.3,30.5,18.9,26.6,42.2,284.4,27.6
117,2013,Both sexes,20 - 24 years,21.0,86.3,36.7,27.8,16.4,23.0,41.7,278.9,26.0
118,2013,Both sexes,25 - 29 years,24.1,113.1,40.4,29.5,18.9,25.7,43.4,321.8,26.8
119,2013,Both sexes,30 - 34 years,28.9,128.3,55.0,36.0,23.1,31.5,54.4,391.4,34.1
120,2013,Both sexes,35 - 39 years,29.0,106.3,56.4,35.5,22.4,31.5,52.8,366.8,33.1
121,2013,Both sexes,40 - 44 years,28.1,91.4,53.7,34.4,21.6,30.7,49.4,341.0,31.7
122,2013,Both sexes,45 - 49 years,26.5,79.4,47.2,32.3,19.6,28.8,46.0,310.1,30.2
123,2013,Both sexes,5 - 9 years,29.5,82.0,55.1,33.8,23.0,30.7,47.3,333.0,31.7
124,2013,Both sexes,50 - 54 years,24.4,73.7,40.4,29.8,17.4,26.5,42.6,282.8,28.1
125,2013,Both sexes,55 - 59 years,22.3,63.9,34.6,27.2,15.5,23.3,37.9,251.1,26.4
126,2013,Both sexes,60 - 64 years,20.5,56.7,29.5,24.9,13.5,20.7,34.0,223.2,23.4
127,2013,Both sexes,65 - 69 years,17.8,47.5,24.9,21.3,11.4,18.2,29.4,190.0,19.6
128,2013,Both sexes,70 - 74 years,12.9,36.3,16.9,15.3,8.1,13.5,21.4,138.7,14.3
129,2013,Both sexes,75 - 79 years,9.9,28.6,11.8,11.7,6.5,10.1,16.6,106.4,11.1
130,2013,Both sexes,80 - 84 years,7.2,19.9,7.6,8.1,4.3,6.8,11.6,73.4,8.0
131,2013,Both sexes,85 years and over,6.5,15.8,6.7,6.5,3.5,5.5,9.1,60.7,7.2
132,2013,Both sexes,All ages,393.1,1265.9,666.4,470.7,289.3,413.7,673.8,4614.7,441.7
133,2013,Female,0 - 4 years,14.7,45.8,28.5,16.8,11.6,15.3,24.5,173.1,15.9
134,2013,Female,10 - 14 years,13.7,36.5,23.9,15.9,10.4,14.4,21.4,150.8,14.7
135,2013,Female,15 - 19 years,12.8,33.8,20.7,14.8,9.4,13.0,20.5,138.5,13.4
136,2013,Female,20 - 24 years,10.8,43.1,18.8,13.5,8.5,11.4,20.0,138.8,12.6
137,2013,Female,25 - 29 years,11.8,60.0,20.9,14.8,9.8,13.3,22.7,167.1,13.8
138,2013,Female,30 - 34 years,14.7,66.0,28.5,18.1,11.8,16.0,27.9,200.6,17.7
139,2013,Female,35 - 39 years,14.4,53.8,28.6,17.5,11.2,15.8,26.2,184.2,16.8
140,2013,Female,40 - 44 years,13.8,46.0,26.8,17.0,10.7,15.2,24.7,170.1,16.0
141,2013,Female,45 - 49 years,13.3,40.6,23.6,16.1,9.7,14.5,22.9,155.7,14.9
142,2013,Female,5 - 9 years,14.2,39.9,26.8,16.6,11.2,14.9,23.2,162.3,15.5
143,2013,Female,50 - 54 years,12.2,37.9,20.2,14.8,8.5,13.3,21.2,142.2,14.0
144,2013,Female,55 - 59 years,11.1,33.2,17.4,13.5,7.6,11.5,18.8,126.0,13.1
145,2013,Female,60 - 64 years,10.0,29.4,14.8,12.2,6.5,10.3,16.8,111.7,11.5
146,2013,Female,65 - 69 years,8.6,24.8,12.4,10.6,5.7,9.0,14.6,95.1,9.4
147,2013,Female,70 - 74 years,6.3,19.6,8.6,7.8,4.1,6.7,11.1,71.3,7.1
148,2013,Female,75 - 79 years,5.2,16.2,6.3,6.1,3.4,5.3,8.9,57.2,5.7
149,2013,Female,80 - 84 years,4.0,12.2,4.4,4.5,2.5,3.8,6.8,42.5,4.5
150,2013,Female,85 years and over,4.3,11.0,4.6,4.4,2.3,3.7,6.3,41.4,4.8
151,2013,Female,All ages,195.7,649.7,335.8,235.2,144.8,207.4,338.7,2328.5,221.2
152,2013,Male,0 - 4 years,15.5,46.9,29.3,17.6,12.3,16.1,25.6,180.0,16.7
153,2013,Male,10 - 14 years,14.3,37.4,25.6,16.0,10.9,15.0,22.8,157.1,15.1
154,2013,Male,15 - 19 years,13.6,36.2,21.5,15.7,9.5,13.6,21.6,145.9,14.2
155,2013,Male,20 - 24 years,10.2,43.1,17.9,14.3,7.8,11.6,21.7,140.1,13.4
156,2013,Male,25 - 29 years,12.4,53.1,19.5,14.7,9.0,12.4,20.6,154.7,12.9
157,2013,Male,30 - 34 years,14.3,62.3,26.5,17.9,11.4,15.5,26.4,190.7,16.5
158,2013,Male,35 - 39 years,14.6,52.6,27.8,17.9,11.2,15.8,26.5,182.7,16.3
159,2013,Male,40 - 44 years,14.3,45.4,27.0,17.4,10.9,15.5,24.7,170.9,15.7
160,2013,Male,45 - 49 years,13.3,38.8,23.6,16.2,9.9,14.3,23.1,154.4,15.3
161,2013,Male,5 - 9 years,15.2,42.1,28.3,17.1,11.9,15.8,24.1,170.7,16.2
162,2013,Male,50 - 54 years,12.1,35.9,20.1,14.9,8.9,13.2,21.4,140.6,14.0
163,2013,Male,55 - 59 years,11.3,30.8,17.3,13.7,7.9,11.8,19.1,125.1,13.3
164,2013,Male,60 - 64 years,10.5,27.3,14.7,12.6,7.0,10.4,17.2,111.5,11.9
165,2013,Male,65 - 69 years,9.2,22.7,12.5,10.7,5.7,9.1,14.7,94.9,10.3
166,2013,Male,70 - 74 years,6.6,16.7,8.3,7.6,4.0,6.7,10.3,67.4,7.3
167,2013,Male,75 - 79 years,4.7,12.3,5.5,5.6,3.1,4.8,7.7,49.2,5.4
168,2013,Male,80 - 84 years,3.2,7.8,3.2,3.5,1.9,3.0,4.8,30.8,3.5
169,2013,Male,85 years and over,2.2,4.9,2.1,2.1,1.2,1.8,2.8,19.3,2.3
170,2013,Male,All ages,197.4,616.2,330.6,235.5,144.4,206.3,335.1,2286.1,220.5
171,2014,Both sexes,0 - 4 years,29.3,91.6,56.6,33.3,23.3,30.3,49.0,345.4,31.9
172,2014,Both sexes,10 - 14 years,28.1,74.0,50.5,32.0,21.5,29.6,44.3,310.1,29.9
173,2014,Both sexes,15 - 19 years,26.6,72.7,43.1,31.1,19.2,26.7,43.2,290.6,28.0
