year,sex,0 - 4 years,5 - 9 years,10 - 14 years,15 - 19 years,20 - 24 years,25 - 29 years,30 - 34 years,35 - 39 years,40 - 44 years,45 - 49 years,50 - 54 years,55 - 59 years,60 - 64 years,65 - 69 years,70 - 74 years,75 - 79 years,80 - 84 years,85 years and over
1962,Male,155.0,148.1,147.8,122.9,83.2,72.8,74.9,80.6,84.1,87.9,82.2,70.0,63.9,51.9,43.7,29.5,16.5,7.8
1963,Both sexes,307.4,292.7,288.0,244.3,169.2,147.2,150.6,162.2,167.9,171.8,160.5,140.7,128.5,107.9,92.0,63.2,36.6,19.3
1963,Female,150.5,143.2,140.4,118.6,82.9,73.7,75.8,82.4,84.4,84.7,77.6,69.1,65.0,55.1,48.5,33.8,20.2,11.4
1963,Male,156.9,149.5,147.6,125.7,86.3,73.5,74.8,79.8,83.5,87.1,82.9,71.6,63.5,52.8,43.5,29.4,16.4,7.9
1964,Both sexes,310.5,295.1,287.4,249.6,174.7,148.1,149.4,159.8,166.6,170.1,162.1,142.9,127.0,110.1,91.4,63.1,36.3,19.6
1964,Female,152.0,144.4,140.3,121.2,85.5,74.0,74.8,81.0,83.8,84.1,78.6,69.8,64.1,56.5,48.3,33.9,20.1,11.6
1964,Male,158.5,150.7,147.1,128.4,89.2,74.1,74.6,78.8,82.8,86.0,83.5,73.1,62.9,53.6,43.1,29.2,16.2,8.0
1965,Both sexes,313.4,297.2,286.6,254.6,180.1,148.8,148.2,157.2,165.2,168.4,163.7,145.0,125.5,112.3,90.8,63.0,35.9,19.9
1965,Female,153.3,145.5,140.1,123.6,88.1,74.2,73.9,79.4,83.2,83.5,79.7,70.5,63.2,57.9,48.1,34.0,19.9,11.9
1965,Male,160.1,151.7,146.5,131.0,92.0,74.6,74.3,77.8,82.0,84.9,84.0,74.5,62.3,54.4,42.7,29.0,16.0,8.0
1966,Both sexes,315.9,299.0,285.5,259.4,185.3,149.3,146.6,154.3,163.4,166.5,165.0,147.1,123.8,114.2,90.1,62.8,35.6,20.3
1966,Female,154.6,146.5,139.8,126.0,90.6,74.3,72.8,77.8,82.4,82.9,80.6,71.2,62.2,59.2,47.9,34.1,19.8,12.2
1966,Male,161.3,152.4,145.6,133.3,94.7,75.0,73.8,76.5,81.0,83.6,84.3,75.8,61.6,55.0,42.2,28.7,15.8,8.1
1967,Both sexes,315.6,302.1,287.6,260.7,191.0,153.9,147.4,153.2,161.2,165.2,163.6,148.4,125.7,113.7,91.7,62.5,35.8,20.4
1967,Female,154.3,148.0,140.9,126.8,93.4,76.5,73.0,76.9,81.2,82.4,80.2,72.1,62.8,58.8,49.1,34.0,20.0,12.3
1967,Male,161.3,154.1,146.7,133.9,97.6,77.4,74.4,76.3,80.0,82.8,83.4,76.3,62.9,54.9,42.6,28.5,15.8,8.1
1968,Both sexes,314.8,305.0,289.6,261.8,196.5,158.1,148.1,151.9,158.8,163.5,162.2,149.6,127.4,113.0,93.4,62.2,35.8,20.5
1968,Female,153.8,149.4,141.9,127.5,96.0,78.3,73.2,76.0,79.7,81.7,79.8,73.0,63.4,58.3,50.3,33.9,20.1,12.4
1968,Male,161.0,155.6,147.7,134.3,100.5,79.8,74.9,75.9,79.1,81.8,82.4,76.6,64.0,54.7,43.1,28.3,15.7,8.1
1969,Both sexes,313.9,307.8,291.6,262.9,202.0,162.5,148.7,150.6,156.3,162.0,160.7,150.9,129.3,112.3,95.0,62.0,36.0,20.7
1969,Female,153.3,150.7,143.0,128.2,98.8,80.3,73.5,74.9,78.4,81.1,79.3,73.8,64.1,57.7,51.5,33.8,20.2,12.6
1969,Male,160.6,157.1,148.6,134.7,103.2,82.2,75.2,75.7,77.9,80.9,81.4,77.1,65.2,54.6,43.5,28.2,15.8,8.1
1970,Both sexes,314.4,312.0,294.8,264.9,208.5,167.5,149.9,149.8,154.5,160.9,159.8,152.8,131.6,112.2,97.0,62.1,36.3,20.9
1970,Female,153.3,152.7,144.6,129.4,101.9,82.7,73.9,74.3,77.3,80.8,79.1,75.1,65.0,57.6,53.0,34.0,20.6,12.7
1970,Male,161.1,159.3,150.2,135.5,106.6,84.8,76.0,75.5,77.2,80.1,80.7,77.7,66.6,54.6,44.0,28.1,15.7,8.2
1971,Both sexes,315.6,316.9,298.6,267.7,215.3,173.0,151.4,149.1,152.7,160.1,159.1,154.8,134.1,111.8,99.0,61.8,36.4,20.9
1971,Female,153.8,155.1,146.4,131.0,105.3,85.3,74.5,73.6,76.3,80.6,79.0,76.4,65.9,57.3,54.4,34.0,20.7,12.8
1971,Male,161.8,161.8,152.1,136.8,110.0,87.7,76.8,75.5,76.4,79.5,80.0,78.4,68.1,54.5,44.6,27.8,15.7,8.1
1972,Both sexes,319.1,320.9,303.0,273.5,221.2,180.7,159.2,152.5,153.6,159.4,158.4,154.9,134.6,114.3,99.0,62.6,36.6,21.1
1972,Female,155.5,157.0,148.5,133.8,108.2,89.0,78.3,75.1,76.5,80.0,78.8,76.7,66.4,58.6,54.2,34.7,21.0,13.0
1972,Male,163.6,163.9,154.5,139.7,113.0,91.6,80.9,77.4,77.1,79.4,79.6,78.2,68.1,55.7,44.7,27.9,15.6,8.1
1973,Both sexes,322.9,325.0,307.7,279.5,227.4,188.6,167.3,156.1,154.6,158.6,157.7,154.9,135.1,117.0,99.0,63.5,36.8,21.3
1973,Female,157.4,158.9,150.7,136.7,111.3,92.9,82.2,76.7,76.8,79.4,78.5,76.9,67.0,60.0,54.1,35.4,21.3,13.2
1973,Male,165.5,166.1,157.0,142.8,116.1,95.7,85.1,79.3,77.8,79.3,79.1,78.0,68.2,57.0,44.9,28.1,15.5,8.1
1974,Both sexes,326.7,329.4,312.7,285.8,233.8,196.9,175.8,159.8,155.6,157.9,157.0,155.0,135.7,119.8,99.0,64.4,37.0,21.5
1974,Female,159.3,161.0,153.0,139.8,114.5,97.0,86.2,78.4,77.0,78.7,78.3,77.2,67.5,61.4,53.9,36.1,21.6,13.3
1974,Male,167.4,168.4,159.7,146.0,119.4,99.9,89.5,81.4,78.5,79.2,78.7,77.8,68.2,58.3,45.1,28.3,15.4,8.1
1975,Both sexes,330.8,334.0,317.9,292.4,240.6,205.5,184.5,163.7,156.7,157.2,156.4,155.2,136.4,122.6,99.1,65.4,37.3,21.6
