year,sex,0 - 4 years,5 - 9 years,10 - 14 years,15 - 19 years,20 - 24 years,25 - 29 years,30 - 34 years,35 - 39 years,40 - 44 years,45 - 49 years,50 - 54 years,55 - 59 years,60 - 64 years,65 - 69 years,70 - 74 years,75 - 79 years,80 - 84 years,85 years and over
2006,Female,147.7,140.4,133.5,142.2,172.0,185.0,171.5,157.7,149.3,136.4,122.3,110.7,89.1,71.4,61.7,51.8,39.9,33.1
2006,Male,154.7,148.1,140.7,148.7,175.5,190.2,176.4,162.8,150.4,137.4,124.1,113.2,90.6,69.9,55.8,39.7,24.5,14.8
2007,Both sexes,310.5,297.2,276.5,291.4,371.7,399.8,361.3,335.3,308.1,281.2,253.2,227.9,190.7,144.1,119.5,92.5,65.6,49.4
2007,Female,151.1,145.4,134.6,144.0,184.1,197.2,176.8,164.0,153.2,140.1,125.8,112.7,94.5,72.2,62.6,51.6,40.5,34.2
2007,Male,159.4,151.9,141.9,147.5,187.6,202.6,184.6,171.3,154.9,141.2,127.4,115.2,96.1,71.9,56.9,40.8,25.0,15.2
2008,Both sexes,324.0,306.2,283.1,295.6,373.6,408.3,369.5,348.6,313.6,288.5,258.0,232.6,199.8,149.8,121.7,94.5,65.9,51.9
2008,Female,158.1,150.0,137.9,146.0,187.1,203.6,182.6,171.0,156.1,143.9,128.5,115.3,98.8,75.4,63.6,52.1,40.5,36.0
2008,Male,165.9,156.3,145.3,149.6,186.5,204.7,186.9,177.6,157.5,144.5,129.5,117.3,101.0,74.4,58.1,42.4,25.3,15.9
2009,Both sexes,335.2,310.7,290.5,294.3,354.4,400.6,374.5,356.3,316.7,295.6,262.3,235.7,207.7,156.6,124.6,96.8,66.9,54.0
2009,Female,163.8,152.2,141.2,143.9,180.9,202.1,186.4,176.0,157.3,147.7,130.7,117.0,102.8,78.6,64.8,52.9,40.6,37.2
2009,Male,171.4,158.5,149.2,150.3,173.5,198.4,188.1,180.3,159.5,147.9,131.6,118.7,104.9,78.0,59.8,43.9,26.3,16.8
2010,Both sexes,347.0,314.6,296.1,289.4,326.3,381.6,381.2,359.7,321.8,300.9,267.4,239.6,214.0,163.5,127.9,99.1,68.4,56.1
2010,Female,169.4,153.8,144.0,141.7,166.2,195.6,191.4,178.7,159.6,151.1,133.7,119.3,106.4,82.0,66.2,54.0,41.0,38.5
2010,Male,177.6,160.8,152.1,147.7,160.1,186.1,189.8,181.0,162.2,149.8,133.7,120.3,107.6,81.5,61.8,45.1,27.3,17.7
2011,Both sexes,356.0,319.6,301.0,281.0,298.6,362.9,393.4,363.1,329.3,304.1,273.7,243.4,217.1,172.1,130.1,101.4,69.8,58.2
2011,Female,174.1,156.2,146.6,137.4,149.9,187.8,198.5,181.2,163.4,152.9,137.1,121.6,107.9,86.5,67.2,55.0,41.5,39.8
2011,Male,182.0,163.5,154.5,143.7,148.6,175.1,194.9,181.9,165.9,151.3,136.7,121.8,109.2,85.6,62.9,46.3,28.3,18.4
2012,Both sexes,358.2,325.3,304.5,281.5,285.1,341.5,394.0,365.2,334.6,307.7,278.2,248.0,219.9,181.6,133.1,103.9,71.5,59.8
2012,Female,175.4,159.0,148.3,137.2,143.6,178.1,200.8,182.9,166.6,154.7,139.9,124.2,109.8,91.0,68.5,56.1,41.9,40.8
2012,Male,182.7,166.4,156.3,144.3,141.5,163.4,193.3,182.3,168.0,153.0,138.3,123.8,110.1,90.6,64.6,47.8,29.6,19.0
2013,Both sexes,353.0,333.0,307.9,284.4,278.9,321.8,391.4,366.8,341.0,310.1,282.8,251.1,223.2,190.0,138.7,106.4,73.4,60.7
2013,Female,173.1,162.3,150.8,138.5,138.8,167.1,200.6,184.2,170.1,155.7,142.2,126.0,111.7,95.1,71.3,57.2,42.5,41.4
2013,Male,180.0,170.7,157.1,145.9,140.1,154.7,190.7,182.7,170.9,154.4,140.6,125.1,111.5,94.9,67.4,49.2,30.8,19.3
2014,Both sexes,345.4,342.1,310.1,290.6,276.6,305.9,382.5,371.6,347.4,312.6,289.2,255.7,226.4,197.2,144.4,109.1,76.1,62.7
2014,Female,169.3,167.0,151.6,141.4,137.3,158.7,197.6,187.8,174.4,156.5,145.8,128.5,113.4,98.7,74.0,58.4,43.5,42.4
2014,Male,176.0,175.1,158.4,149.1,139.4,147.2,184.9,183.8,172.9,156.1,143.4,127.2,112.9,98.5,70.4,50.7,32.6,20.3
2015,Both sexes,337.9,349.3,314.4,296.1,275.5,298.7,369.2,379.8,353.0,317.0,295.2,260.6,230.8,203.6,150.8,112.2,78.8,64.9
2015,Female,165.6,170.8,153.6,144.1,135.6,155.0,192.2,192.9,178.0,158.6,149.1,131.3,115.9,102.3,77.2,59.7,44.7,43.5
2015,Male,172.4,178.5,160.9,152.0,139.9,143.7,177.0,186.9,175.0,158.4,146.1,129.3,115.0,101.2,73.6,52.4,34.1,21.4
2016,Both sexes,331.4,355.3,318.9,301.2,273.5,296.7,360.3,388.1,356.5,324.9,298.4,268.2,236.5,208.0,159.9,114.2,80.5,67.3
2016,Female,161.7,173.9,155.7,146.9,135.1,151.5,187.8,197.5,179.3,162.4,150.8,135.1,118.7,104.5,81.6,60.7,45.5,44.4
2016,Male,169.7,181.4,163.1,154.4,138.4,145.2,172.5,190.6,177.2,162.5,147.7,133.1,117.7,103.4,78.4,53.5,34.9,23.0
2017,Both sexes,325.0,360.7,324.7,309.6,277.4,294.0,349.2,396.1,364.0,334.6,304.5,275.2,243.5,212.7,170.1,117.3,83.2,69.1
2017,Female,158.8,176.7,158.4,151.5,136.5,148.7,182.1,203.0,183.8,167.6,153.9,138.9,122.5,107.1,86.7,62.0,46.8,45.0
2017,Male,166.2,184.0,166.2,158.1,140.9,145.2,167.1,193.2,180.2,167.0,150.6,136.3,121.0,105.5,83.3,55.3,36.4,24.2
2018,Both sexes,320.0,359.6,334.8,318.1,291.2,293.4,337.7,400.6,371.0,343.5,308.6,281.6,248.3,217.8,178.8,122.6,85.5,71.8
2018,Female,156.1,175.8,163.2,156.0,142.9,146.8,175.5,206.7,187.9,172.0,155.7,142.3,125.2,110.0,90.9,64.6,47.8,46.0
2018,Male,163.9,183.9,171.6,162.1,148.3,146.6,162.2,193.9,183.2,171.5,153.0,139.2,123.2,107.8,87.8,57.9,37.7,25.8
2019,Both sexes,315.0,355.9,344.7,322.1,301.7,291.5,333.7,399.6,381.2,354.4,313.4,288.1,255.9,221.6,187.1,130.3,88.2,74.1
2019,Female,153.7,173.3,167.7,158.7,148.1,145.0,172.2,206.6,194.1,177.8,157.4,146.0,129.1,112.1,95.8,68.4,49.1,46.9
2019,Male,161.3,182.6,176.9,163.3,153.6,146.5,161.5,192.9,187.2,176.6,156.0,142.1,126.8,109.5,91.3,61.9,39.1,27.2
2020,Both sexes,308.7,350.2,354.7,327.4,310.5,296.4,331.6,389.8,394.3,362.6,319.9,296.0,261.6,228.7,192.5,138.5,90.8,75.6
2020,Female,150.0,170.6,173.2,161.0,152.1,148.3,170.3,201.7,200.8,182.6,160.5,150.2,132.7,115.8,98.2,72.6,50.1,47.6
2020,Male,158.8,179.6,181.6,166.4,158.4,148.1,161.2,188.1,193.5,180.1,159.4,145.8,128.9,113.0,94.3,65.9,40.7,28.0
2021,Both sexes,300.9,342.7,364.0,329.0,311.4,294.8,330.5,383.0,403.6,368.2,329.5,301.2,268.5,234.1,196.2,147.2,92.4,77.5
2021,Female,146.8,166.7,178.5,161.4,153.1,147.3,169.4,198.7,206.1,185.1,164.7,152.2,135.8,118.6,99.8,76.8,50.8,49.0
2021,Male,154.1,176.0,185.6,167.6,158.3,147.5,161.0,184.3,197.5,183.1,164.8,149.0,132.7,115.5,96.5,70.4,41.6,28.6
2022,Both sexes,295.8,343.6,374.9,337.8,311.9,299.1,334.5,385.8,414.7,376.0,342.9,309.7,275.8,240.5,204.7,155.0,96.8,84.4
2022,Female,144.2,167.7,183.4,165.1,153.9,150.0,173.1,201.5,212.7,189.5,171.4,156.5,139.8,121.9,104.5,80.9,53.0,52.8
2022,Male,151.6,175.9,191.5,172.6,158.0,149.1,161.4,184.3,202.1,186.5,171.4,153.2,136.0,118.6,100.2,74.1,43.7,31.6
2023,Both sexes,293.8,338.6,379.2,349.5,317.8,308.5,337.0,384.5,427.7,382.7,354.5,316.3,285.2,244.8,210.5,162.1,101.8,87.1
2023,Female,144.6,165.2,185.3,170.7,156.5,153.8,173.6,201.2,221.0,194.0,178.0,160.2,145.0,124.6,107.9,84.3,55.6,53.9
2023,Male,149.2,173.4,193.9,178.7,161.3,154.7,163.4,183.3,206.7,188.7,176.4,156.1,140.3,120.2,102.6,77.8,46.1,33.1
