Unnamed: 0,index,year,All countries,Australia,Canada,EU14_excl_Irl_UK,EU15_to_27,other_countries_23,UK,USA,sex_Both sexes,sex_Female,sex_Male,endpoint_Emigrants: All destinations,endpoint_Immigrants: All origins,endpoint_Net migration
297,297,2020,50.9,5.6,3.1,10.7,7.9,8.7,9.7,5.3,1,0,0,1,0,0
298,298,2020,95.6,7.8,3.1,15.5,9.2,36.4,17.6,6.0,1,0,0,0,1,0
299,299,2020,44.7,2.2,0.0,4.8,1.3,27.7,7.9,0.7,1,0,0,0,0,1
300,300,2020,25.5,2.9,1.7,5.2,3.8,4.2,5.2,2.6,0,1,0,1,0,0
301,301,2020,48.7,4.3,1.5,7.9,4.4,18.4,9.2,3.0,0,1,0,0,1,0
302,302,2020,23.2,1.4,-0.2,2.7,0.6,14.2,4.0,0.4,0,1,0,0,0,1
303,303,2020,25.4,2.7,1.4,5.5,4.1,4.5,4.5,2.7,0,0,1,1,0,0
304,304,2020,46.9,3.5,1.6,7.6,4.8,18.0,8.4,3.0,0,0,1,0,1,0
305,305,2020,21.5,0.8,0.2,2.1,0.7,13.5,3.9,0.3,0,0,1,0,0,1
306,306,2021,52.3,2.5,1.7,11.1,4.4,12.5,17.6,2.4,1,0,0,1,0,0
307,307,2021,74.1,5.8,6.0,7.9,8.7,18.4,21.7,5.5,1,0,0,0,1,0
308,308,2021,21.8,3.3,4.3,-3.2,4.3,5.9,4.1,3.1,1,0,0,0,0,1
309,309,2021,26.9,1.6,1.1,6.1,2.0,5.5,9.4,1.2,0,1,0,1,0,0
310,310,2021,37.9,3.3,2.4,4.2,4.4,10.3,10.1,3.2,0,1,0,0,1,0
311,311,2021,11.0,1.7,1.3,-1.9,2.4,4.8,0.7,2.0,0,1,0,0,0,1
312,312,2021,25.4,0.9,0.6,5.0,2.4,7.0,8.2,1.2,0,0,1,1,0,0
313,313,2021,36.2,2.5,3.6,3.7,4.3,8.1,11.6,2.3,0,0,1,0,1,0
314,314,2021,10.8,1.6,3.0,-1.3,1.9,1.1,3.4,1.1,0,0,1,0,0,1
315,315,2022,56.1,3.9,4.2,12.8,5.0,10.7,13.4,6.3,1,0,0,1,0,0
316,316,2022,107.8,3.1,2.2,8.1,16.8,60.5,12.8,4.3,1,0,0,0,1,0
317,317,2022,51.7,-0.8,-2.0,-4.7,11.8,49.8,-0.6,-2.0,1,0,0,0,0,1
318,318,2022,26.5,1.8,1.9,7.1,2.3,5.6,6.2,1.7,0,1,0,1,0,0
319,319,2022,58.6,1.6,1.1,3.6,8.8,34.7,6.4,2.4,0,1,0,0,1,0
320,320,2022,32.1,-0.2,-0.8,-3.5,6.5,29.1,0.2,0.7,0,1,0,0,0,1
321,321,2022,29.6,2.1,2.3,5.7,2.7,5.1,7.2,4.6,0,0,1,1,0,0
322,322,2022,49.2,1.5,1.1,4.5,8.0,25.8,6.4,1.9,0,0,1,0,1,0
323,323,2022,19.6,-0.6,-1.2,-1.2,5.3,20.7,-0.8,-2.7,0,0,1,0,0,1
324,324,2023,64.0,4.7,5.3,13.9,8.8,11.7,14.6,4.9,1,0,0,1,0,0
325,325,2023,141.6,7.7,7.2,17.7,8.9,75.8,18.4,5.9,1,0,0,0,1,0
326,326,2023,77.7,3.0,1.9,3.8,0.1,64.1,3.8,1.0,1,0,0,0,0,1
327,327,2023,32.9,2.4,1.8,9.1,5.2,6.4,4.7,3.3,0,1,0,1,0,0
328,328,2023,75.5,3.7,4.7,8.8,5.0,41.0,9.4,2.9,0,1,0,0,1,0
329,329,2023,42.6,1.3,2.9,-0.3,-0.2,34.6,4.7,-0.4,0,1,0,0,0,1
330,330,2023,31.0,2.3,3.5,4.8,3.6,5.3,9.9,1.6,0,0,1,1,0,0
331,331,2023,66.1,4.0,2.5,8.9,3.9,34.8,9.0,3.0,0,0,1,0,1,0
332,332,2023,35.1,1.7,-1.0,4.1,0.3,29.5,-0.9,1.4,0,0,1,0,0,1
